accession,genename,GOIDs,localizations,organism,type
M0R3P2,Plaur,GO:0001934; GO:0005102; GO:0005887; GO:0009986; GO:0019899; GO:0019904; GO:0030377; GO:0043388; GO:0045742; GO:0090200; GO:2001243; GO:2001268,,Rattus norvegicus (Rat),Background Only
M0R6Z6,Plaur,GO:0030162; GO:0030377,,Rattus norvegicus (Rat),Background Only
P49616,Plaur,GO:0005576; GO:0005886; GO:0007283; GO:0030162; GO:0030377; GO:0031225; GO:0043066; GO:0043403; GO:0048762; GO:0060742,Cell membrane; Secreted,Rattus norvegicus (Rat),Background Only
G3V7L2,Dusp4,GO:0004725; GO:0005654; GO:0008330; GO:0017017; GO:0035970; GO:0070373; GO:1990439,,Rattus norvegicus (Rat),Background Only
Q62767,Dusp4,GO:0000188; GO:0004725; GO:0005634; GO:0005737; GO:0006470; GO:0008138; GO:0008330; GO:0017017; GO:0035335; GO:0035970; GO:0070373; GO:1990439,Nucleus,Rattus norvegicus (Rat),Background Only
F1LNT5,Phlda1,GO:0005730; GO:0045210,,Rattus norvegicus (Rat),Background Only
Q9QZA1,Phlda1,GO:0005730; GO:0006915; GO:0021879; GO:0031410; GO:0043065,Cytoplasm; Cytoplasmic vesicle; Nucleus; Nucleolus,Rattus norvegicus (Rat),Background Only
P20695,Ifrd1,GO:0005634; GO:0005737; GO:0005886; GO:0007405; GO:0014009; GO:0042692; GO:0045944; GO:0051091; GO:0061629,Cytoplasm; Cell membrane; Nucleus,Rattus norvegicus (Rat),Background Only
Q5XIV9,Ifrd1,GO:0005634; GO:0005737; GO:0014706; GO:0030517; GO:0042692; GO:0043403; GO:0048671,,Rattus norvegicus (Rat),Background Only
Q4V8J4,Gpat3,GO:0003841; GO:0004366; GO:0005783; GO:0005789; GO:0016021; GO:0016024; GO:0019432; GO:0032006; GO:0102420,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
A0A0G2JZ99,Rrad,GO:0003924; GO:0005525; GO:0007165; GO:0016020; GO:1901842,,Rattus norvegicus (Rat),Background Only
G3V7K9,Rrad,GO:0003924; GO:0005525; GO:0007165; GO:0016020; GO:1901842,,Rattus norvegicus (Rat),Background Only
P55043,Rrad,GO:0003924; GO:0005246; GO:0005516; GO:0005525; GO:0005886; GO:0007165; GO:0030308; GO:1901842,Cell membrane,Rattus norvegicus (Rat),Background Only
Q06175,Hbegf,GO:0005154; GO:0005615; GO:0005887; GO:0007173; GO:0007399; GO:0008016; GO:0008083; GO:0008201; GO:0008284; GO:0009986; GO:0030307; GO:0035313; GO:0048661; GO:0050731; GO:0051545; GO:0051549; GO:0051897; GO:0060326; GO:0090303,Secreted; Extracellular space; Cell membrane,Rattus norvegicus (Rat),Background Only
F1LPJ5,Dusp5,GO:0004725; GO:0017017; GO:0035970,,Rattus norvegicus (Rat),Background Only
O54838,Dusp5,GO:0000188; GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0017017; GO:0035335; GO:0035970; GO:0045892; GO:0045906,Nucleus,Rattus norvegicus (Rat),Background Only
A0A0G2JSK7,Sgms2,GO:0002950; GO:0005887; GO:0006686; GO:0030173; GO:0033188; GO:0046513; GO:0047493; GO:1905373,,Rattus norvegicus (Rat),Background Only
Q4JM44,Sgms2,GO:0005887; GO:0006686; GO:0016301; GO:0030148; GO:0030173; GO:0030176; GO:0033188; GO:0046513; GO:0047493,Cell membrane; Golgi apparatus membrane,Rattus norvegicus (Rat),Background Only
Q99MA1,Cited2,GO:0000790; GO:0001102; GO:0001570; GO:0001829; GO:0001843; GO:0001889; GO:0001892; GO:0001947; GO:0002089; GO:0002244; GO:0003151; GO:0003156; GO:0003197; GO:0003682; GO:0003700; GO:0003713; GO:0005634; GO:0006357; GO:0007179; GO:0007368; GO:0007417; GO:0007422; GO:0007507; GO:0007530; GO:0007569; GO:0008283; GO:0008584; GO:0009612; GO:0010628; GO:0010629; GO:0021602; GO:0022409; GO:0030511; GO:0030851; GO:0035802; GO:0035914; GO:0043066; GO:0045787; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046697; GO:0048536; GO:0048538; GO:0048596; GO:0048821; GO:0060044; GO:0060136; GO:0060349; GO:0060412; GO:0060971; GO:0061156; GO:0061308; GO:0070986; GO:0071363; GO:1900164; GO:2000020,,Rattus norvegicus (Rat),Background Only
D3ZIA4,Kctd11,GO:0005737; GO:0007406; GO:0042802; GO:0045666; GO:0045879; GO:0051260,,Rattus norvegicus (Rat),Background Only
P51145,Fosl2,GO:0000978; GO:0001661; GO:0001666; GO:0003677; GO:0003690; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007565; GO:0007568; GO:0007623; GO:0009409; GO:0009416; GO:0009612; GO:0009636; GO:0009648; GO:0014070; GO:0030431; GO:0032355; GO:0032570; GO:0034097; GO:0035902; GO:0043434; GO:0043565; GO:0044212; GO:0045893; GO:0051591,Nucleus,Rattus norvegicus (Rat),Background Only
D3ZLB7,Fosb,GO:0000978; GO:0001228; GO:0003690; GO:0003700; GO:0005634; GO:0005654; GO:0006366; GO:0007565; GO:0009612; GO:0032570; GO:0032870; GO:0042493; GO:0043278; GO:0043565; GO:0051412; GO:0051591; GO:0071277,,Rattus norvegicus (Rat),Background Only
Q62738,Fosl2,GO:0003677; GO:0003700; GO:0006357,,Rattus norvegicus (Rat),Background Only
S5NB67,Fosb,GO:0000978; GO:0003690; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007565; GO:0009612; GO:0032570; GO:0032870; GO:0042493; GO:0043278; GO:0043565; GO:0051412; GO:0051591,,Rattus norvegicus (Rat),Background Only
D4AAK5,Ripk4,GO:0002009; GO:0004672; GO:0005524; GO:0005737; GO:0051092,,Rattus norvegicus (Rat),Background Only
D4AAU5,Rassf8,GO:0007165; GO:0034334,,Rattus norvegicus (Rat),Background Only
P54842,Mafb,GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005667; GO:0006355; GO:0007379; GO:0007585; GO:0008134; GO:0021571; GO:0021572; GO:0021599; GO:0033077; GO:0035284; GO:0042472; GO:0042803; GO:0043565; GO:0045647; GO:0045671; GO:0045944; GO:0046982; GO:0048538; GO:1990837,Nucleus,Rattus norvegicus (Rat),Background Only
Q9R1U5,Sik1,GO:0000122; GO:0000287; GO:0002028; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0007049; GO:0007346; GO:0008140; GO:0010830; GO:0010868; GO:0019901; GO:0031588; GO:0032007; GO:0032792; GO:0035556; GO:0042149; GO:0042826; GO:0043153; GO:0043276; GO:0045595; GO:0045721; GO:0046777; GO:0048511; GO:0055007; GO:0071889,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
A0A0G2JTQ1,Egr3,,,Rattus norvegicus (Rat),Background Only
P43301,Egr3,GO:0000977; GO:0000981; GO:0001938; GO:0002042; GO:0005634; GO:0006357; GO:0007274; GO:0007422; GO:0033089; GO:0035767; GO:0035924; GO:0043066; GO:0044344; GO:0045586; GO:0045944; GO:0046872; GO:0071363,Nucleus,Rattus norvegicus (Rat),Background Only
Q4V8L1,Egr3,GO:0003677; GO:0005634; GO:0046872,Nucleus,Rattus norvegicus (Rat),Background Only
A0A1W2Q6P5,Ier5,GO:0000159; GO:0005634; GO:0005737; GO:0034605; GO:0042127; GO:0042802; GO:0045944; GO:1900036,,Rattus norvegicus (Rat),Background Only
Q5BK73,Ier5,,,Rattus norvegicus (Rat),Background Only
D3ZRE0,Ripply2,GO:0000122; GO:0001503; GO:0005634; GO:0007219; GO:0007368; GO:0009880; GO:0032525; GO:0036342; GO:0060349,,Rattus norvegicus (Rat),Background Only
B2BL32,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL34,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL35,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL36,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL37,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL40,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
B2BL42,Jmjd3,GO:0005634; GO:0046872; GO:0071558,,Rattus norvegicus (Rat),Background Only
P42533,F3,GO:0002020; GO:0004896; GO:0005615; GO:0005737; GO:0005886; GO:0007568; GO:0007596; GO:0009266; GO:0009611; GO:0009612; GO:0009986; GO:0014911; GO:0016021; GO:0019221; GO:0032355; GO:0032496; GO:0034405; GO:0070301; GO:0071404,Membrane,Rattus norvegicus (Rat),Background Only
Q66HI4,F3,GO:0001938; GO:0002020; GO:0002541; GO:0004252; GO:0005543; GO:0005615; GO:0006919; GO:0007596; GO:0009986; GO:0010641; GO:0016021; GO:0045766; GO:0051897; GO:0062023; GO:1905286,,Rattus norvegicus (Rat),Background Only
P61214,Arl4a,GO:0005525; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0006886; GO:0016192; GO:0050873,Cell membrane; Cytoplasm; Nucleus; Nucleolus,Rattus norvegicus (Rat),Background Only
G3V742,Mmp13,GO:0001958; GO:0003417; GO:0004222; GO:0005509; GO:0005518; GO:0008270; GO:0022617; GO:0030282; GO:0030574; GO:0031012; GO:0044267,,Rattus norvegicus (Rat),Background Only
P23097,Mmp13,GO:0001503; GO:0001554; GO:0001649; GO:0001666; GO:0001958; GO:0001968; GO:0004222; GO:0005509; GO:0005518; GO:0005576; GO:0005615; GO:0005764; GO:0005794; GO:0006508; GO:0007507; GO:0007567; GO:0008270; GO:0009612; GO:0009725; GO:0022617; GO:0030198; GO:0030574; GO:0031012; GO:0035116; GO:0042493; GO:0043171; GO:0043627; GO:0044849; GO:0046581; GO:0048306; GO:0050750; GO:0060349; GO:0071498; GO:1904244,Secreted; Extracellular space; Extracellular matrix,Rattus norvegicus (Rat),Background Only
Q8K3H6,Mmp13,GO:0005581,,Rattus norvegicus (Rat),Background Only
A0A0G2K2L3,Sprr1b,GO:0001533; GO:0005198; GO:0005737; GO:0018149; GO:0030216,,Rattus norvegicus (Rat),Background Only
A0A0G2KA34,Mmp3,GO:0004222; GO:0008270; GO:0031012,,Rattus norvegicus (Rat),Background Only
F1LPL9,Mmp3,GO:0004222; GO:0008270; GO:0010727; GO:0031012; GO:0032461,,Rattus norvegicus (Rat),Background Only
P03957,Mmp3,GO:0001666; GO:0004222; GO:0005615; GO:0005634; GO:0007565; GO:0008270; GO:0009612; GO:0030198; GO:0030335; GO:0030425; GO:0030574; GO:0031012; GO:0032355; GO:0032496; GO:0032991; GO:0034097; GO:0034612; GO:0042060; GO:0043200; GO:0044297; GO:0044877; GO:0070555; GO:0071347; GO:0071460,Secreted; Extracellular space; Extracellular matrix,Rattus norvegicus (Rat),Background Only
D3ZZA9,Prrg4,GO:0005509; GO:0005576; GO:0016021,,Rattus norvegicus (Rat),Background Only
F1LP80,Vgf,GO:0005184,,Rattus norvegicus (Rat),Background Only
P20156,Vgf,GO:0005184; GO:0005615; GO:0008083; GO:0030133; GO:0030182; GO:0030667; GO:0043005; GO:0043025; GO:0043084; GO:0045202; GO:0048168,Secreted; Cytoplasmic vesicle; Secretory vesicle,Rattus norvegicus (Rat),Both
Q8VD48,Dhrs9,GO:0002138; GO:0004022; GO:0004745; GO:0008209; GO:0030176; GO:0042448; GO:0042573; GO:0042904; GO:0047023; GO:0047035; GO:0047044,Microsome membrane; Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
D4AAE4,Prss22,GO:0004252; GO:0019897; GO:0046658,,Rattus norvegicus (Rat),Background Only
G3V788,Mmp10,GO:0004222; GO:0008270; GO:0030334; GO:0031012,,Rattus norvegicus (Rat),Background Only
P07152,Mmp10,GO:0004222; GO:0005615; GO:0008270; GO:0030198; GO:0030574; GO:0031012,Secreted; Extracellular space; Extracellular matrix,Rattus norvegicus (Rat),Background Only
D3ZI64,Ankrd34c,,,Rattus norvegicus (Rat),Background Only
A0A0G2KB92,Dclk1,GO:0004672; GO:0005524; GO:0035556,,Rattus norvegicus (Rat),Background Only
A0A1W2Q632,Dclk1,GO:0004674; GO:0005524,,Rattus norvegicus (Rat),Background Only
A0A1W2Q6Q2,Dclk1,GO:0004672; GO:0005524; GO:0035556,,Rattus norvegicus (Rat),Background Only
O08875,Dclk1,GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0007399; GO:0009615; GO:0030154; GO:0030424; GO:0030426,,Rattus norvegicus (Rat),Background Only
Q9WVP7,Dclk1,,,Rattus norvegicus (Rat),Background Only
Q63921,Ptgs1,GO:0001516; GO:0004601; GO:0004666; GO:0005635; GO:0005737; GO:0005789; GO:0006954; GO:0006979; GO:0007568; GO:0007612; GO:0007613; GO:0008217; GO:0010243; GO:0010700; GO:0019233; GO:0019371; GO:0020037; GO:0032811; GO:0035633; GO:0043231; GO:0045907; GO:0045987; GO:0046872; GO:0051213; GO:0051412; GO:0070542; GO:0097756,Microsome membrane; Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
Q66HK3,Ptgs1,GO:0001750; GO:0004601; GO:0004666; GO:0005794; GO:0006954; GO:0006979; GO:0008217; GO:0019371; GO:0020037; GO:0042127,,Rattus norvegicus (Rat),Background Only
P09810,Tph1,GO:0004510; GO:0005506; GO:0005737; GO:0006587; GO:0007623; GO:0030279; GO:0035902; GO:0043005; GO:0045600; GO:0046849; GO:0060749,,Rattus norvegicus (Rat),Background Only
Q6AYP2,Mfap3l,GO:0005634; GO:0005737; GO:0005886; GO:0016021,Cell membrane; Nucleus; Cytoplasm,Rattus norvegicus (Rat),Background Only
Q9QZH0,Fzd4,GO:0001540; GO:0001570; GO:0004896; GO:0004930; GO:0005886; GO:0005911; GO:0007223; GO:0007605; GO:0009986; GO:0010812; GO:0016021; GO:0016055; GO:0017147; GO:0019955; GO:0030165; GO:0030425; GO:0030947; GO:0031625; GO:0031987; GO:0034446; GO:0035426; GO:0035567; GO:0038023; GO:0042701; GO:0042803; GO:0042813; GO:0043507; GO:0044877; GO:0045893; GO:0046982; GO:0051091; GO:0060070; GO:0061299; GO:0061301; GO:0061304; GO:0098978; GO:0110135; GO:0150012; GO:1990830,Membrane; Cell membrane,Rattus norvegicus (Rat),Background Only
P18589,Mx2,GO:0000266; GO:0003374; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0008017; GO:0009615; GO:0016020; GO:0031966; GO:0045087; GO:0051607; GO:0061025,Cytoplasm,Rattus norvegicus (Rat),Background Only
Q499Q3,Mx2,GO:0003924; GO:0005525; GO:0009615; GO:0034340; GO:0045071,,Rattus norvegicus (Rat),Background Only
A0A0G2K1G2,Hsf2bp,,,Rattus norvegicus (Rat),Background Only
B0BNC3,Hsf2bp,,,Rattus norvegicus (Rat),Background Only
G3V646,Hsf2bp,,,Rattus norvegicus (Rat),Background Only
G3V6F7,Sytl5,GO:0005543; GO:0005623; GO:0006886; GO:0006887; GO:0017137,,Rattus norvegicus (Rat),Background Only
Q812E4,Sytl5,GO:0005543; GO:0006886; GO:0016020; GO:0017137; GO:0046872; GO:0070382,Membrane,Rattus norvegicus (Rat),Background Only
D3ZAG0,Sema6a,GO:0001755; GO:0001764; GO:0004888; GO:0005615; GO:0005887; GO:0007411; GO:0030215; GO:0030335; GO:0045499; GO:0048843; GO:0050919; GO:0051642; GO:0071526; GO:2001224,,Rattus norvegicus (Rat),Background Only
D3ZAX7,Sema6a,GO:0001755; GO:0005615; GO:0005887; GO:0030215; GO:0030335; GO:0045499; GO:0048843; GO:0050919; GO:0071526; GO:2001224,,Rattus norvegicus (Rat),Background Only
A0A0A0MY13,Gpr158,GO:0004930; GO:0016021; GO:0072659,,Rattus norvegicus (Rat),Background Only
D4A6L0,Gpr158,GO:0004930; GO:0005886; GO:0016021,Cell membrane,Rattus norvegicus (Rat),Background Only
Q80ZF7,Rdh10,GO:0001656; GO:0001701; GO:0002138; GO:0004745; GO:0005789; GO:0005811; GO:0007601; GO:0008406; GO:0014032; GO:0016021; GO:0031076; GO:0035115; GO:0042574; GO:0043231; GO:0043583; GO:0043584; GO:0048703; GO:0052650; GO:0060431; GO:0060449; GO:1900054,Microsome membrane; Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
D3ZB51,Igsf9b,GO:0007156; GO:0007399; GO:0014069; GO:0016021; GO:0019900; GO:0030054; GO:0030425; GO:0043025; GO:0045211; GO:0060077; GO:0097151; GO:0098982; GO:0099560; GO:0099629,Cell junction; Synapse; Postsynaptic cell membrane; Postsynaptic density,Rattus norvegicus (Rat),Background Only
B5DF61,Trib2,GO:0004672; GO:0005524; GO:0005634; GO:0031434; GO:0032436; GO:0043405; GO:0045081,,Rattus norvegicus (Rat),Background Only
G3V6F9,Tnfrsf12a,GO:0001726; GO:0005886; GO:0006931; GO:0009986; GO:0016021; GO:0045765; GO:0045773; GO:0061041; GO:0097191; GO:2001238,,Rattus norvegicus (Rat),Background Only
Q80XX9,Tnfrsf12a,GO:0005886; GO:0016021; GO:2001238,,Rattus norvegicus (Rat),Background Only
D4A3I1,Tnfsf18,GO:0002309; GO:0009986; GO:0010759; GO:0016021; GO:0032813; GO:0033209; GO:0042129; GO:0042802; GO:0045785; GO:0050729; GO:0051092; GO:0090026; GO:0090073; GO:2000329; GO:2000508,,Rattus norvegicus (Rat),Background Only
A0A0G2JV24,Thbs1,GO:0000187; GO:0001786; GO:0001953; GO:0001968; GO:0002040; GO:0002544; GO:0002581; GO:0002605; GO:0005178; GO:0005509; GO:0005577; GO:0005615; GO:0005737; GO:0006955; GO:0007050; GO:0007155; GO:0008201; GO:0009612; GO:0009749; GO:0009897; GO:0010748; GO:0010751; GO:0010754; GO:0010757; GO:0010763; GO:0016477; GO:0016525; GO:0017134; GO:0018149; GO:0030169; GO:0030511; GO:0031091; GO:0032026; GO:0032695; GO:0033574; GO:0040037; GO:0042493; GO:0042535; GO:0043032; GO:0043154; GO:0043236; GO:0043536; GO:0043652; GO:0045727; GO:0045766; GO:0048661; GO:0050431; GO:0050921; GO:0051592; GO:0051897; GO:0051918; GO:0062023; GO:0070051; GO:0070052; GO:0071356; GO:0071363; GO:0071636; GO:0090051; GO:1902043; GO:1903588; GO:2000353; GO:2000379; GO:2001027,,Rattus norvegicus (Rat),Background Only
M0R979,Thbs1,GO:0005509; GO:0005615; GO:0005737; GO:0006954; GO:0007155; GO:0008201; GO:0009612; GO:0016525; GO:0033574; GO:0050431; GO:0050840; GO:0062023; GO:0071356; GO:0071363; GO:0071636,,Rattus norvegicus (Rat),Background Only
Q71SA3,Thbs1,GO:0005509; GO:0005615; GO:0005737; GO:0006954; GO:0007155; GO:0008201; GO:0009612; GO:0016525; GO:0032914; GO:0033574; GO:0050431; GO:0050840; GO:0062023; GO:0071356; GO:0071363; GO:0071636,,Rattus norvegicus (Rat),Background Only
Q64346,Dusp6,GO:0004725; GO:0005737; GO:0005829; GO:0006470; GO:0008138; GO:0010033; GO:0010942; GO:0014070; GO:0017017; GO:0030154; GO:0042493; GO:0043065; GO:0051409; GO:0060420; GO:0070373; GO:0070848,Cytoplasm,Rattus norvegicus (Rat),Background Only
Q5M863,Dusp2,GO:0000188; GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0017017; GO:0031965; GO:0051019,,Rattus norvegicus (Rat),Background Only
A0A0H2UI29,Bdkrb2,GO:0004947; GO:0006939; GO:0016021; GO:0042310,,Rattus norvegicus (Rat),Background Only
G3V942,Bdkrb2,GO:0002020; GO:0004947; GO:0005768; GO:0005886; GO:0006939; GO:0009651; GO:0016021; GO:0031702; GO:0033137; GO:0042310; GO:0042311; GO:0046982; GO:0050482; GO:1902239,,Rattus norvegicus (Rat),Background Only
P25023,Bdkrb2,GO:0002438; GO:0004930; GO:0004947; GO:0005886; GO:0006939; GO:0007204; GO:0008285; GO:0016021; GO:0019233; GO:0031698; GO:0035633; GO:0042310; GO:0042493; GO:0045776; GO:0071456,Cell membrane,Rattus norvegicus (Rat),Background Only
D4AE48,Midn,GO:0005634; GO:0005829; GO:0019900; GO:0033132; GO:0046676,Nucleus; Cytoplasm; Cytosol; Nucleolus,Rattus norvegicus (Rat),Background Only
Q6P771,Sertad1,GO:0005634; GO:0005737; GO:0030308; GO:0045944,,Rattus norvegicus (Rat),Background Only
D4ABY6,Sh2b3,GO:0001780; GO:0005070; GO:0005173; GO:0008285; GO:0035162; GO:0035556; GO:0035702; GO:0035855; GO:0036016; GO:0038163; GO:0042532; GO:0043407; GO:0048821; GO:0051898; GO:0070100; GO:0090331; GO:1900235; GO:1990782,,Rattus norvegicus (Rat),Background Only
P50745,Sh2b3,GO:0005068; GO:0005886; GO:0030097; GO:0035556; GO:0042301; GO:0044877; GO:0045589; GO:1903671,,Rattus norvegicus (Rat),Background Only
D4A4F4,Nab2,GO:0001958; GO:0003712; GO:0005634; GO:0006355; GO:0008134; GO:0014037; GO:0016480; GO:0042552; GO:0042802; GO:0045682; GO:1902949,,Rattus norvegicus (Rat),Background Only
Q9R011,Plk3,GO:0000082; GO:0000122; GO:0000278; GO:0000302; GO:0000922; GO:0002039; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005795; GO:0005813; GO:0006468; GO:0006915; GO:0006970; GO:0006974; GO:0009314; GO:0030425; GO:0031122; GO:0032465; GO:0043025; GO:0043066; GO:0043491; GO:0044819; GO:0048167; GO:0048169; GO:0051302; GO:0090166; GO:0090316; GO:1904716; GO:2000777,Cell projection; Dendrite; Cytoplasm; Nucleus; Nucleolus; Golgi apparatus; Cytoskeleton; Microtubule organizing center; Centrosome,Rattus norvegicus (Rat),Background Only
Q5FVP2,Nabp1,GO:0000724; GO:0000784; GO:0003677; GO:0003697; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006974; GO:0007093; GO:0010212; GO:0070876,Nucleus,Rattus norvegicus (Rat),Background Only
A0A0G2JX73,Klf10,GO:0003676,,Rattus norvegicus (Rat),Background Only
O08876,Klf10,GO:0000978; GO:0000981; GO:0001046; GO:0001228; GO:0005634; GO:0006357; GO:0007623; GO:0009267; GO:0030282; GO:0035019; GO:0042752; GO:0045672; GO:0045892; GO:0046872; GO:1901653,Nucleus,Rattus norvegicus (Rat),Background Only
D3ZAE6,Vasn,GO:0005615; GO:0005739; GO:0005886; GO:0009986; GO:0010719; GO:0016021; GO:0030512; GO:0031012; GO:0050431; GO:0070062; GO:0071456; GO:0071461,,Rattus norvegicus (Rat),Background Only
