GO.ID	Term	Annotated	Significant	Expected	Fisher_p_value	Corrected p-value	Proteins	
GO:0055085	transmembrane transport	523	35	13.22	7.10E-08	4.01E-05	OPA1; TIMM17B; SLC25A12; ATP5H; TOMM40; CAPN1; CYC1; HSPA5; ATP2A2; ABCD3; ATP5D; ABCD1; PHB; ATP5C1; MTOR; CPT1A; HK2; VCP; BAX; CAMK2D; BAK1; TIMM50; TIMM23B; MICU2; MCU; YME1L1; TIMM17A; PHB2; MICU1; TIMM21; SFXN3; SEL1L; SLC25A10; SLC25A13; STOML2	
GO:0009141	nucleoside triphosphate metabolic proces...	273	24	6.9	7.60E-08	4.13E-05	OPA1; NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; UQCR10; SLC25A13; STOML2	
GO:0043067	regulation of programmed cell death	787	45	19.89	8.00E-08	4.15E-05	UL36; HAX1; IFIT3; SPTLC1; OPA1; TRIO; APOE; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; CALR; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; VCP; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; KANK2; MUL1; DNAJA3; YME1L1; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0042775	mitochondrial ATP synthesis coupled elec...	83	13	2.1	1.30E-07	6.34E-05	NDUFS2; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; SDHA; UQCRC1; UQCRFS1; NDUFV1; NDUFA9; UQCR10	
GO:0010941	regulation of cell death	858	47	21.68	1.40E-07	6.63E-05	UL36; HAX1; IFIT3; SPTLC1; OPA1; TRIO; COX2; APOE; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; CALR; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; VCP; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; KANK2; SLC25A24; MUL1; DNAJA3; YME1L1; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0042773	ATP synthesis coupled electron transport	84	13	2.12	1.50E-07	6.63E-05	NDUFS2; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; SDHA; UQCRC1; UQCRFS1; NDUFV1; NDUFA9; UQCR10	
GO:0051641	cellular localization	1824	78	46.09	1.50E-07	6.63E-05	MYO1C; HAX1; EXOC5; PPP6C; OPA1; TIMM17B; FLNB; SEC22B; ATP5H; ACSL3; TOMM40; APOE; RPLP0; CYC1; HSPA5; HSP90B1; ATP2A2; VCL; CDH2; RAB3B; KDELR1; CALR; ATP5D; PPP2R1A; DNAJA1; RPL9; ABCD1; CTNNA1; CTNNB1; ATP5C1; PPP1CC; HSPA9; ARL1; LRPPRC; IQGAP1; CPT1A; RAB5C; HK2; VCP; CDC42; RAP1B; RPS18; DYNLL1; NUCB1; RPL18; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; OXA1L; BAK1; TIMM50; TIMM23B; CNST; MAVS; MFN1; RHOT2; RHOT1; MUL1; ERGIC1; FAF2; DNAJA3; ERBB2IP; TIMM17A; PHB2; MSTO1; TIMM21; RAB34; MFF; GOLPH3; RAB18; RTN4; SEL1L; ARMCX3; STOML2; SAMM50; MTCH2	
GO:0042981	regulation of apoptotic process	778	44	19.66	1.60E-07	6.97E-05	UL36; HAX1; IFIT3; SPTLC1; OPA1; TRIO; APOE; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; CALR; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; VCP; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; MUL1; DNAJA3; YME1L1; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0051179	localization	3269	117	82.61	2.00E-07	8.47E-05	MYO1C; HAX1; EXOC5; PPP6C; MYO1B; OPA1; PLOD3; TIMM17B; FLNB; SEC22B; MTX2; SLC25A12; ATP5H; ACSL3; TOMM40; GLUD1; COX2; APOE; TFRC; RPLP0; CAPN1; CYC1; GSTP1; MGST1; HSPA5; HSP90B1; ATP2A2; VCL; CDH2; RAB3B; KDELR1; CALR; ABCD3; ATP5D; PPP2R1A; DNAJA1; RPL9; ABCD1; CTNNA1; CTNNB1; PHB; ATP5C1; PPP1CC; HSPA9; DDOST; CEACAM6; ARL1; MTOR; LRPPRC; VDAC2; IQGAP1; CPT1A; RAB5C; HK2; VCP; CDC42; RAP1B; RPS18; DYNLL1; CAP1; NUCB1; RPL18; C1QBP; CKAP4; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; OXA1L; BAK1; NDUFA9; TIMM50; TIMM23B; ATAD3B; KANK2; SLC25A24; CAVIN1; CNST; MAVS; TMEM173; MFN1; RHOT2; RHOT1; MICU2; ATAD1; MCU; LPCAT1; MUL1; ERGIC1; FAF2; RCN3; DNAJA3; ERBB2IP; YME1L1; TIMM17A; PHB2; MICU1; SDF4; MSTO1; TIMM21; SFXN3; RAB34; SLIRP; MFF; GOLPH3; RAB18; RTN4; TOR4A; SEL1L; SLC25A10; ARMCX3; SLC25A13; STOML2; VDAC3; SAMM50; MTCH2	
GO:0007007	inner mitochondrial membrane organizatio...	38	9	0.96	3.00E-07	0.000115682	OPA1; ATP5H; TMEM11; ATP5D; ATP5C1; IMMT; DNAJC11; CHCHD3; SAMM50	
GO:0009126	purine nucleoside monophosphate metaboli...	251	22	6.34	2.90E-07	0.000115682	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; UQCR10; SLC25A13; STOML2	
GO:0009167	purine ribonucleoside monophosphate meta...	251	22	6.34	2.90E-07	0.000115682	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; UQCR10; SLC25A13; STOML2	
GO:1903894	regulation of IRE1-mediated unfolded pro...	8	5	0.2	5.10E-07	0.000193044	HSPA5; TMEM33; BAX; BAK1; DNAJB9	
GO:0009161	ribonucleoside monophosphate metabolic p...	260	22	6.57	5.40E-07	0.000197965	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; UQCR10; SLC25A13; STOML2	
GO:0070585	protein localization to mitochondrion	111	14	2.8	6.50E-07	0.000231929	HAX1; TIMM17B; TOMM40; DNAJA1; HK2; BAX; OXA1L; TIMM50; TIMM23B; TIMM17A; TIMM21; MFF; SAMM50; MTCH2	
GO:0009123	nucleoside monophosphate metabolic proce...	265	22	6.7	7.50E-07	0.000260401	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; UQCR10; SLC25A13; STOML2	
GO:0006163	purine nucleotide metabolic process	379	27	9.58	8.20E-07	0.000277439	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; OAS1; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0009150	purine ribonucleotide metabolic process	364	26	9.2	1.30E-06	0.000421443	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0009259	ribonucleotide metabolic process	376	26	9.5	2.40E-06	0.00073984	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0072521	purine-containing compound metabolic pro...	400	27	10.11	2.30E-06	0.00073984	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; OAS1; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0006811	ion transport	555	33	14.02	2.70E-06	0.000816395	OPA1; SLC25A12; ATP5H; ACSL3; TOMM40; APOE; TFRC; CAPN1; CYC1; ATP2A2; RAB3B; ABCD3; ATP5D; ABCD1; CTNNB1; PHB; ATP5C1; MTOR; VDAC2; CPT1A; BAX; CAMK2D; BAK1; NDUFA9; SLC25A24; MICU2; MCU; YME1L1; PHB2; MICU1; SLC25A10; SLC25A13; STOML2	
GO:0072655	establishment of protein localization to...	108	13	2.73	2.80E-06	0.000852438	HAX1; TIMM17B; TOMM40; DNAJA1; HK2; BAX; OXA1L; TIMM50; TIMM23B; TIMM17A; TIMM21; MFF; SAMM50	
GO:0030150	protein import into mitochondrial matrix	18	6	0.45	3.50E-06	0.000995528	TIMM17B; TOMM40; TIMM50; TIMM23B; TIMM17A; TIMM21	
GO:0042407	cristae formation	27	7	0.68	3.40E-06	0.000995528	ATP5H; ATP5D; ATP5C1; IMMT; DNAJC11; CHCHD3; SAMM50	
GO:0009117	nucleotide metabolic process	470	29	11.88	5.70E-06	0.001410342	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; OAS1; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; PRDX5; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; GPD2; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0019693	ribose phosphate metabolic process	392	26	9.91	5.10E-06	0.001410342	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0020012	evasion or tolerance of host immune resp...	6	4	0.15	5.70E-06	0.001410342	US8; US11; US9; SCRIB	
GO:0030682	evasion or tolerance of host defense res...	6	4	0.15	5.70E-06	0.001410342	US8; US11; US9; SCRIB	
GO:0030683	evasion or tolerance by virus of host im...	6	4	0.15	5.70E-06	0.001410342	US8; US11; US9; SCRIB	
GO:0051646	mitochondrion localization	29	7	0.73	5.70E-06	0.001410342	OPA1; LRPPRC; MFN1; RHOT2; RHOT1; MUL1; MSTO1	
GO:0051805	evasion or tolerance of immune response ...	6	4	0.15	5.70E-06	0.001410342	US8; US11; US9; SCRIB	
GO:0051807	evasion or tolerance of defense response...	6	4	0.15	5.70E-06	0.001410342	US8; US11; US9; SCRIB	
GO:0006753	nucleoside phosphate metabolic process	472	29	11.93	6.20E-06	0.001505436	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; OAS1; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; PRDX5; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; GPD2; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0006122	mitochondrial electron transport	 ubiqui...	13	5	0.33	1.10E-05	0.002526972	UQCRH; CYC1; UQCRC1; UQCRFS1; UQCR10
GO:0010821	regulation of mitochondrion organization	122	13	3.08	1.10E-05	0.00258945	HAX1; OPA1; HK2; BAX; SQSTM1; CTTN; BAK1; RHOT2; RHOT1; MUL1; MFF; GOLPH3; STOML2	
GO:0035966	response to topologically incorrect prot...	142	14	3.59	1.30E-05	0.002870712	HSPA5; HSP90B1; CALR; DNAJA1; HSPA9; VCP; TMEM33; BAX; BAK1; FAF2; SDF2L1; DNAJB9; DNAJB11; DNAJB4	
GO:0052564	response to immune response of other org...	7	4	0.18	1.30E-05	0.002884814	US8; US11; US9; SCRIB	
GO:0052572	response to host immune response	7	4	0.18	1.30E-05	0.002884814	US8; US11; US9; SCRIB	
GO:0019048	modulation by virus of host morphology o...	33	7	0.83	1.40E-05	0.003128287	UL36; US8; US11; US9; UL37; UL97; SCRIB	
GO:0048284	organelle fusion	90	11	2.27	1.50E-05	0.003128287	OPA1; SEC22B; CALR; BAX; BAK1; MFN1; MUL1; RAB34; MFF; CHCHD3; STOML2	
GO:0006986	response to unfolded protein	126	13	3.18	1.60E-05	0.003252217	HSPA5; HSP90B1; CALR; DNAJA1; HSPA9; VCP; TMEM33; BAX; BAK1; FAF2; DNAJB9; DNAJB11; DNAJB4	
GO:0039686	bidirectional double-stranded viral DNA ...	3	3	0.08	1.60E-05	0.003252217	UL70; UL105; UL102	
GO:0039693	viral DNA genome replication	3	3	0.08	1.60E-05	0.003252217	UL70; UL105; UL102	
GO:0008637	apoptotic mitochondrial changes	76	10	1.92	1.90E-05	0.003772825	OPA1; NDUFS1; HK2; BAX; BAK1; TIMM50; RHOT2; RHOT1; MUL1; MFF	
GO:0051649	establishment of localization in cell	1437	60	36.31	2.10E-05	0.004098412	MYO1C; HAX1; PPP6C; OPA1; TIMM17B; SEC22B; ATP5H; TOMM40; APOE; RPLP0; CYC1; HSPA5; HSP90B1; ATP2A2; CDH2; RAB3B; KDELR1; CALR; ATP5D; RPL9; ABCD1; CTNNB1; ATP5C1; PPP1CC; HSPA9; ARL1; LRPPRC; CPT1A; RAB5C; VCP; CDC42; RAP1B; RPS18; DYNLL1; NUCB1; RPL18; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; OXA1L; BAK1; TIMM50; TIMM23B; MAVS; RHOT2; RHOT1; ERGIC1; FAF2; ERBB2IP; TIMM17A; PHB2; TIMM21; RAB34; MFF; RAB18; SEL1L; STOML2; SAMM50	
GO:0055086	nucleobase-containing small molecule met...	531	30	13.42	2.20E-05	0.004334707	OPA1; NDUFS2; SLC25A12; ATP5H; ACSL3; COX2; OAS1; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; PRDX5; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; MTOR; GPD2; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; FAR1; UQCR10; SLC25A13; STOML2	
GO:0046907	intracellular transport	1279	55	32.32	2.30E-05	0.004444336	MYO1C; HAX1; PPP6C; OPA1; TIMM17B; SEC22B; ATP5H; TOMM40; APOE; RPLP0; CYC1; HSPA5; HSP90B1; ATP2A2; RAB3B; KDELR1; CALR; ATP5D; RPL9; ABCD1; CTNNB1; ATP5C1; PPP1CC; HSPA9; ARL1; LRPPRC; CPT1A; RAB5C; VCP; CDC42; RAP1B; RPS18; DYNLL1; NUCB1; RPL18; SQSTM1; SCRIB; CTTN; TIMM50; TIMM23B; MAVS; RHOT2; RHOT1; ERGIC1; FAF2; ERBB2IP; TIMM17A; PHB2; TIMM21; RAB34; MFF; RAB18; SEL1L; STOML2; SAMM50	
GO:0019049	evasion or tolerance of host defenses by...	8	4	0.2	2.60E-05	0.00459997	US8; US11; US9; SCRIB	
GO:0044413	avoidance of host defenses	8	4	0.2	2.60E-05	0.00459997	US8; US11; US9; SCRIB	
GO:0044415	evasion or tolerance of host defenses	8	4	0.2	2.60E-05	0.00459997	US8; US11; US9; SCRIB	
GO:0051832	avoidance of defenses of other organism ...	8	4	0.2	2.60E-05	0.00459997	US8; US11; US9; SCRIB	
GO:0051834	evasion or tolerance of defenses of othe...	8	4	0.2	2.60E-05	0.00459997	US8; US11; US9; SCRIB	
