gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus	shared_baits_24	shared_baits_48	shared_baits_72	shared_baits_96	shared_baits_120
SQOR	Q9Y6N5	Homo sapiens (Human)	Mitochondria		oxidation-reduction process	72		3	6			UL13	UL37; UL13	UL13
RMDN3	Q96TC7	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	24		1	6	UL37	UL37	UL37	UL37	UL37
MFN1	Q8IWA4	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial membrane organization	96	120	4	5				UL37	
DNAJA3	Q96EY1	Homo sapiens (Human)	Mitochondria		mitochondrion organization; programmed cell death; cell death	24	120	1	5	UL13		UL13; UL37	UL13	
OPA1	O60313	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; mitochondrial membrane organization; programmed cell death; cell death	24		1	6	UL37			UL37	UL37
HK2	P52789	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; oxidation-reduction process; programmed cell death; cell death	96	120	4	5				UL37	
COX2	P00403	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain; cell death	24		1	6	UL37			UL37	UL13
FKBP8	Q14318	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48		2	6		UL37	UL37	UL37; UL13	UL37; UL13
RPS18	P62269	Homo sapiens (Human)	Mitochondria			72	120	3	5			UL13	UL13; UL37	
GLUD1	P00367	Homo sapiens (Human)	Mitochondria			96	120	4	5				UL37	
TIMM17A	Q99595	Homo sapiens (Human)	Mitochondria	APC-IQGAP1-Cdc42 complex	mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport	96		4	6				UL37	UL37
NDUFV1	P49821	Homo sapiens (Human)	Mitochondria	G alpha-13-Hax-1-cortactin-Rac complex	mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL37	UL37	UL37
RHOT2	Q8IXI1	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; programmed cell death; cell death	72		3	6			UL37	UL37	UL37
PHB2	Q99623	Homo sapiens (Human)	Mitochondria	TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial	mitochondrion organization; programmed cell death; cell death	72	120	3	5			UL37	UL37	
VDAC2	P45880	Homo sapiens (Human)	Mitochondria	TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial	programmed cell death; cell death	24		1	6	UL37		UL37	UL37	UL37
OAS1	P00973	Homo sapiens (Human)	Mitochondria			48	72	2	3		UL37			
MTOR	P42345	Homo sapiens (Human)	Mitochondria		oxidation-reduction process; programmed cell death; cell death	72		3	6			UL37	UL37	UL37
COX5A	P20674	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	96		4	6				UL37	UL37
ATP5H	O75947	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; mitochondrial membrane organization; oxidative phosphorylation	96		4	6				UL37	UL37
SLC25A12	O75746	Homo sapiens (Human)	Mitochondria		mitochondrial transport; mitochondrial transmembrane transport; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL13	UL13	UL13; UL37
TIMM17B	O60830	Homo sapiens (Human)	Mitochondria	APC-IQGAP1-Cdc42 complex	mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport	96		4	6				UL37	UL37
LRPPRC	P42704	Homo sapiens (Human)	Mitochondria			24		1	6	UL37	UL37	UL37; UL13	UL37; UL13	UL37; UL13
NDUFS2	O75306	Homo sapiens (Human)	Mitochondria	Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial; MIB complex; G alpha-13-Hax-1-cortactin-Rac complex; mitochondrial calcium uniporter complex	mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL37		UL37
EXOC5	O00471	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	72		3	6			UL37	UL37	UL37
HAX1	O00165	Homo sapiens (Human)	Mitochondria	TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial; DLL1-CTNNB1-CDH2 complex	mitochondrion organization; mitochondrial transport; programmed cell death; cell death	24		1	6	UL13		UL13	UL13	UL37; UL13
SAMM50	Q9Y512	Homo sapiens (Human)	Mitochondria	prohibitin 2 complex, mitochondrial	mitochondrion organization; mitochondrial transport; mitochondrial membrane organization	48		2	6		UL37	UL37	UL37	UL37
MTCH1	Q9NZJ7	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48		2	6		UL37	UL37	UL37	UL37
MCU	Q8NE86	Homo sapiens (Human)	Mitochondria	Respiratory chain complex I (incomplete intermediate), mitochondrial	mitochondrial transport; mitochondrial transmembrane transport	96		4	6				UL37	UL37
PHB	P35232	Homo sapiens (Human)	Mitochondria	TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial	mitochondrion organization; programmed cell death; cell death	72		3	6			UL37; UL13	UL37; UL13	UL37
SDHA	P31040	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL37	UL37; UL13	UL37
ARMCX3	Q9UH62	Homo sapiens (Human)	Mitochondria			24		1	6	UL37	UL37	UL37	UL37	UL37
TIMM23B	Q5SRD1	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport	72		3	6			UL13; UL37	UL37	UL13; UL37
TIMM21	Q9BVV7	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport	120		5	6					UL37
HADHA	P40939	Homo sapiens (Human)	Mitochondria		oxidation-reduction process	24		1	6	UL37	UL37	UL37; UL13	UL37; UL13	UL37
MTX2	O75431	Homo sapiens (Human)	Mitochondria	prohibitin 2 complex, mitochondrial	mitochondrial transport	48		2	6		UL37	UL37	UL37	UL37
TMEM173	Q86WV6	Homo sapiens (Human)	Mitochondria			72		3	6			UL37	UL37	UL37
SLC25A24	Q6NUK1	Homo sapiens (Human)	Mitochondria		mitochondrial transport; cell death	72	120	3	5			UL37; UL13	UL37; UL13	
MSTO1	Q9BUK6	Homo sapiens (Human)	Mitochondria		mitochondrion organization	96	120	4	5				UL37	
UQCRH	P07919	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL37	UL37	UL37
C1QBP	Q07021	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	72		3	6			UL37	UL13; UL37	UL13; UL37
MICU1	Q9BPX6	Homo sapiens (Human)	Mitochondria	Respiratory chain complex I (incomplete intermediate), mitochondrial	mitochondrial transport; mitochondrial transmembrane transport	72		3	6			UL37	UL37	UL37
SLC25A10	Q9UBX3	Homo sapiens (Human)	Mitochondria		mitochondrial transport; oxidation-reduction process	72		3	6			UL13; UL37	UL13; UL37	UL13; UL37
PPP6C	O00743	Homo sapiens (Human)	Mitochondria			72		3	6			UL37; UL13	UL37; UL13	UL13
GOLPH3	Q9H4A6	Homo sapiens (Human)	Mitochondria		mitochondrion organization; programmed cell death; cell death	72		3	6			UL37	UL37	UL37
BAK1	Q16611	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; programmed cell death; cell death	72		3	6			UL37	UL37	UL37
DNAJA1	P31689	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	96	120	4	5				UL37	
SLC25A13	Q9UJS0	Homo sapiens (Human)	Mitochondria		mitochondrial transport; mitochondrial transmembrane transport; oxidation-reduction process; respiratory electron transport chain; electron transport chain	24		1	6	UL13		UL13	UL13	UL37
ATAD3B	Q5T9A4	Homo sapiens (Human)	Mitochondria		mitochondrion organization	24		1	6	UL37		UL37	UL37	UL37
CYB5B	O43169	Homo sapiens (Human)	Mitochondria		oxidation-reduction process	72		3	6			UL37	UL37	UL37
OXA1L	Q15070	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial membrane organization; oxidation-reduction process	96	120	4	5				UL37	
MTCH2	Q9Y6C9	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	24		1	6	UL37		UL37	UL37	UL37
ATP5C1	P36542	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; mitochondrial membrane organization; oxidative phosphorylation	72		3	6			UL13; UL37	UL13; UL37	UL13
CHCHD3	Q9NX63	Homo sapiens (Human)	Mitochondria	prohibitin 2 complex, mitochondrial	mitochondrion organization; mitochondrial membrane organization	24		1	6	UL37	UL37	UL37	UL37; UL13	UL37; UL13
TIMM50	Q3ZCQ8	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; mitochondrial membrane organization; programmed cell death; cell death	120		5	6					UL37
HADHB	P55084	Homo sapiens (Human)	Mitochondria		oxidation-reduction process	24		1	6	UL37	UL37	UL13; UL37	UL13; UL37	UL37
TMEM126A	Q9H061	Homo sapiens (Human)	Mitochondria			96		4	6				UL37	UL37
UQCR10	Q9UDW1	Homo sapiens (Human)	Mitochondria		mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72		3	6			UL37	UL37	UL37
VDAC3	Q9Y277	Homo sapiens (Human)	Mitochondria			24		1	6	UL37	UL37	UL37; UL13	UL37; UL13	UL37
MICU2	Q8IYU8	Homo sapiens (Human)	Mitochondria	Respiratory chain complex I (incomplete intermediate), mitochondrial	mitochondrial transport; mitochondrial transmembrane transport	72		3	6			UL37	UL37	UL37
UQCRC1	P31930	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72	120	3	5			UL37	UL37	
PTRH2	Q9Y3E5	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	96		4	6				UL37	UL37
ACAD9	Q9H845	Homo sapiens (Human)	Mitochondria		mitochondrion organization	120		5	6					UL37
SLIRP	Q9GZT3	Homo sapiens (Human)	Mitochondria		mitochondrion organization	48		2	6		UL37	UL37	UL37	UL37
PGAM5	Q96HS1	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48		2	6		UL37	UL37	UL37	UL37
CYC1	P08574	Homo sapiens (Human)	Mitochondria		mitochondrial transport; mitochondrial transmembrane transport; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	24		1	6	UL37	UL37	UL37	UL37	UL37
TRIO	O75962	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48	72	2	3		UL37			
SLC25A11	Q02978	Homo sapiens (Human)	Mitochondria			96		4	6				UL37	UL37
NDUFA9	Q16795	Homo sapiens (Human)	Mitochondria	Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial; MIB complex; G alpha-13-Hax-1-cortactin-Rac complex; mitochondrial calcium uniporter complex	mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	96		4	6				UL37	UL37
DYNLL1	P63167	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48	120	2	5		UL37	UL37	UL37	
DNAJC11	Q9NVH1	Homo sapiens (Human)	Mitochondria	prohibitin 2 complex, mitochondrial	mitochondrion organization; mitochondrial membrane organization	96		4	6				UL37	UL37
CPT1A	P50416	Homo sapiens (Human)	Mitochondria		mitochondrial transport; mitochondrial transmembrane transport; oxidation-reduction process	48		2	6		UL37		UL37	UL37
CAVIN1	Q6NZI2	Homo sapiens (Human)	Mitochondria			96		4	6				UL13; UL37	UL13
ATP5D	P30049	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; mitochondrial membrane organization; oxidative phosphorylation; oxidation-reduction process	96		4	6				UL37	UL37
RHOT1	Q8IXI2	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; programmed cell death; cell death	72	120	3	5			UL37	UL37	
ATAD3A	Q9NVI7	Homo sapiens (Human)	Mitochondria		mitochondrion organization; programmed cell death; cell death	24		1	6	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37
NDUFV2	P19404	Homo sapiens (Human)	Mitochondria	G alpha-13-Hax-1-cortactin-Rac complex	mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	72	120	3	5			UL37	UL37	
STOML2	Q9UJZ1	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport; oxidative phosphorylation	48		2	6		UL37	UL37	UL13; UL37	UL13; UL37
TOMM40	O96008	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial transmembrane transport	24		1	6	UL37	UL37	UL37; UL13	UL37; UL13	UL37; UL13
IMMT	Q16891	Homo sapiens (Human)	Mitochondria	prohibitin 2 complex, mitochondrial	mitochondrion organization; mitochondrial membrane organization	24		1	6	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37
RARS2	Q5T160	Homo sapiens (Human)	Mitochondria			72		3	6			UL13; UL37	UL37	UL13; UL37
YME1L1	Q96TA2	Homo sapiens (Human)	Mitochondria		mitochondrion organization; programmed cell death; cell death	72		3	6			UL37	UL37	UL37
GK	P32189	Homo sapiens (Human)	Mitochondria			72		3	6			UL37		UL37
BAX	Q07812	Homo sapiens (Human)	Mitochondria		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; programmed cell death; cell death	24		1	6	UL37	UL37	UL37	UL37	UL37
CKAP4	Q07065	Homo sapiens (Human)	Membrane; ER/Golgi			72		3	6			UL13	UL13	UL13
SQSTM1	Q13501	Homo sapiens (Human)	Membrane; ER/Golgi		mitochondrion organization; programmed cell death; cell death	24		1	6	UL13	UL13	UL13	UL13	UL13
RAB3B	P20337	Homo sapiens (Human)	Membrane; ER/Golgi			72	96	3	4			UL13		
RTN4	Q9NQC3	Homo sapiens (Human)	Membrane; ER/Golgi		programmed cell death; cell death	120		5	6					UL13
CNST	Q6PJW8	Homo sapiens (Human)	Membrane; ER/Golgi			48		2	6		UL13	UL13	UL13	UL13
SDF4	Q9BRK5	Homo sapiens (Human)	Membrane; ER/Golgi			24		1	6	UL13		UL13	UL13	UL13
ATP2A2	P16615	Homo sapiens (Human)	Membrane; ER/Golgi			72		3	6			UL13		UL13
RAB5C	P51148	Homo sapiens (Human)	Membrane; ER/Golgi			120		5	6					UL13
SEC22B	O75396	Homo sapiens (Human)	Membrane; ER/Golgi			72	120	3	5			UL13	UL13	
HSPA5	P11021	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	96	120	4	5				UL13	
RCN2	Q14257	Homo sapiens (Human)	ER/Golgi			24		1	6	UL13	UL13	UL13	UL13	UL13
RCN3	Q96D15	Homo sapiens (Human)	ER/Golgi			48	120	2	5		UL13	UL13	UL13	
MX1	P20591	Homo sapiens (Human)	ER/Golgi		mitochondrion organization; programmed cell death; cell death	72		3	6			UL13	UL13	UL13
DNAJB11	Q9UBS4	Homo sapiens (Human)	ER/Golgi			72	120	3	5			UL13	UL13	
HSP90B1	P14625	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	72		3	6			UL13	UL13	UL13
VCP	P55072	Homo sapiens (Human)	ER/Golgi		oxidative phosphorylation; oxidation-reduction process; programmed cell death; cell death	72		3	6			UL13	UL13	UL13
BAG2	O95816	Homo sapiens (Human)	ER/Golgi			24		1	6	UL13	UL13	UL13	UL13	UL13
RPLP0	P05388	Homo sapiens (Human)	ER/Golgi			120		5	6					UL13
DKK3	Q9UBP4	Homo sapiens (Human)	ER/Golgi			48		2	6		UL13	UL13	UL13	UL13
MYH14	Q7Z406	Homo sapiens (Human)	ER/Golgi		mitochondrion organization	96		4	6				UL13	UL13
DDOST	P39656	Homo sapiens (Human)	ER/Golgi			96	120	4	5				UL13	
PRMT5	O14744	Homo sapiens (Human)	ER/Golgi			24		1	6	UL13	UL13	UL13	UL13	UL13
CALR	P27797	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	96		4	6				UL13	UL13
TMEM33	P57088	Homo sapiens (Human)	ER/Golgi			72	120	3	5			UL13	UL13	
SPTLC1	O15269	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	72		3	6			UL13		UL13
FAF2	Q96CS3	Homo sapiens (Human)	ER/Golgi	AUP1-OS9-SEL1L-UBC6e-UBXD8 complex		96		4	6				UL13	UL13
RAB34	Q9BZG1	Homo sapiens (Human)	ER/Golgi			96	120	4	5				UL13	
NUCB1	Q02818	Homo sapiens (Human)	ER/Golgi			72		3	6			UL13	UL13	UL13
ERGIC1	Q969X5	Homo sapiens (Human)	ER/Golgi			96		4	6				UL13	UL13
P4HA1	P13674	Homo sapiens (Human)	ER/Golgi			72		3	6			UL13	UL13	UL13
PLOD1	Q02809	Homo sapiens (Human)	ER/Golgi		oxidation-reduction process	72		3	6			UL13	UL13	UL13
STT3A	P46977	Homo sapiens (Human)	ER/Golgi			72	96	3	4			UL13		
RPL9	P32969	Homo sapiens (Human)	ER/Golgi			96		4	6				UL13	UL13
DNAJB9	Q9UBS3	Homo sapiens (Human)	ER/Golgi			96	120	4	5				UL13	
SDF2L1	Q9HCN8	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	96	120	4	5				UL13	
ARL1	P40616	Homo sapiens (Human)	ER/Golgi			120		5	6					UL13
KDELR1	P24390	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	72		3	6			UL13		UL13
PLOD3	O60568	Homo sapiens (Human)	ER/Golgi			96	120	4	5				UL13	
LPCAT1	Q8NF37	Homo sapiens (Human)	ER/Golgi			96	120	4	5				UL13	
SEL1L	Q9UBV2	Homo sapiens (Human)	ER/Golgi	AUP1-OS9-SEL1L-UBC6e-UBXD8 complex		120		5	6					UL13
APOE	P02649	Homo sapiens (Human)	ER/Golgi		programmed cell death; cell death	120		5	6					UL13
TOR4A	Q9NXH8	Homo sapiens (Human)	ER/Golgi			72	96	3	4			UL13		
NUCB2	P80303	Homo sapiens (Human)	ER/Golgi			120		5	6					UL13
KANK2	Q63ZY3	Homo sapiens (Human)	Membrane; Mitochondria		programmed cell death; cell death	24		1	6	UL13	UL13	UL13	UL13	UL13
PPP1CC	P36873	Homo sapiens (Human)	Mitochondria		oxidation-reduction process	24		1	6	UL13	UL13	UL13	UL13	UL13
SFXN3	Q9BWM7	Homo sapiens (Human)	Mitochondria		mitochondrial transport; mitochondrial transmembrane transport	72	120	3	5			UL13	UL13	
HSPA9	P38646	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	96	120	4	5				UL13	
GSTP1	P09211	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	72		3	6			UL13		UL13
UQCRFS1	P47985	Homo sapiens (Human)	Mitochondria		oxidative phosphorylation; oxidation-reduction process; respiratory electron transport chain; electron transport chain	96	120	4	5				UL13	
UBA1	P22314	Homo sapiens (Human)	Mitochondria			96	120	4	5				UL13	
PRDX5	P30044	Homo sapiens (Human)	Mitochondria		oxidation-reduction process; programmed cell death; cell death	120		5	6					UL13
PFDN2	Q9UHV9	Homo sapiens (Human)	Mitochondria			24		1	6	UL13		UL13	UL13	UL13
ERBB2IP	Q96RT1	Homo sapiens (Human)	Membrane			24		1	6	UL13	UL13	UL13	UL13	UL13
MYO1C	O00159	Homo sapiens (Human)	Membrane			24		1	6	UL13		UL13	UL13	UL13
CTNND1	O60716	Homo sapiens (Human)	Membrane			24		1	6	UL13	UL13	UL13	UL13	UL13
SCRIB	Q14160	Homo sapiens (Human)	Membrane		programmed cell death; cell death	24		1	6	UL13	UL13	UL13	UL13	UL13
CTNNA1	P35221	Homo sapiens (Human)	Membrane		programmed cell death; cell death	24		1	6	UL13	UL13		UL13	UL13
CTNNB1	P35222	Homo sapiens (Human)	Membrane	Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial	programmed cell death; cell death	24		1	6	UL13	UL13		UL13	UL13
LMO7	Q8WWI1	Homo sapiens (Human)	Membrane			72	120	3	5			UL13	UL13	
FLNB	O75369	Homo sapiens (Human)	Membrane			96	120	4	5				UL13	
IQGAP1	P46940	Homo sapiens (Human)	Membrane	Respiratory chain complex I (intermediate IV/310kD), mitochondrial		72		3	6			UL13	UL13	UL13
VCL	P18206	Homo sapiens (Human)	Membrane			120		5	6					UL13
TFRC	P02786	Homo sapiens (Human)	Membrane			24		1	6	UL13			UL13	UL13
MYO1B	O43795	Homo sapiens (Human)	Membrane			24		1	6	UL13	UL13	UL13	UL13	UL13
CAPN1	P07384	Homo sapiens (Human)	Membrane		programmed cell death; cell death	120		5	6					UL13
CDH2	P19022	Homo sapiens (Human)	Membrane	Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial		24		1	6	UL13	UL13		UL13	UL13
RAB18	Q9NP72	Homo sapiens (Human)	Membrane			72	120	3	5			UL13	UL13	
CAPN2	P17655	Homo sapiens (Human)	Membrane		programmed cell death; cell death	72		3	6			UL13	UL13	UL13
CTTN	Q14247	Homo sapiens (Human)	Membrane	DLL1-CTNNB1-CDH2 complex	mitochondrion organization; programmed cell death; cell death	96		4	6				UL13	UL13
PPP2R1A	P30153	Homo sapiens (Human)	Membrane		programmed cell death; cell death	96		4	6				UL13	UL13
CAMK2D	Q13557	Homo sapiens (Human)	Membrane		programmed cell death; cell death	72		3	6			UL13	UL13	UL13
RAP1B	P61224	Homo sapiens (Human)	Membrane			72		3	6			UL13		UL13
CAP1	Q01518	Homo sapiens (Human)	Membrane			72		3	6			UL13		UL13
CDC42	P60953	Homo sapiens (Human)	Membrane	Respiratory chain complex I (intermediate IV/310kD), mitochondrial		48		2	6		UL13	UL13		UL13
DNAJB4	Q9UDY4	Homo sapiens (Human)	Membrane			24	48	1	2	UL13				
IFITM3	Q01628	Homo sapiens (Human)	Membrane			72		3	6			UL13	UL13	UL13
CEACAM6	P40199	Homo sapiens (Human)	Membrane		programmed cell death; cell death	48		2	6		UL13			UL13
US24	F5H8S6	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			72		3	6			UL13; UL37	UL13; UL37	UL13; UL37
US8	F5HB52	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			72		3	6			UL37	UL37	UL37
US9	P09729	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			72		3	6			UL37	UL37	UL37
