#node1	node2	node1_accession	node2_accession	onset	terminus	type	confidence_score_24	confidence_score_48	confidence_score_72	confidence_score_96	confidence_score_120	cluster	abundance_24	abundance_48	abundance_72	abundance_96	abundance_120
UL37	COX2	P16778	P00403	96	120	Provided	0.84	0.46	0.74	0.97	0.79	2	28325.1769	22788.52229	30556.24622	39535.05025	23997.22531
UL13	COX2	P16755	P00403	120	144	Provided	0.06	0.52	0.35	0.35	0.97	2	7595.485449	13888.35246	10694.92478	14609.15692	14166.7658
UL13	FKBP8	P16755	Q14318	96	144	Provided	0	0.28	0.35	0.95	0.9	2	2934.197221	3683.132971	2356.974592	3092.480272	2484.354325
UL37	FKBP8	P16778	Q14318	48	144	Provided	0.67	0.96	1	1	0.99	2	55254.13443	71101.59156	70680.68629	68669.12933	27281.48176
UL13	RPS18	P16755	P62269	72	120	Provided	0	0	0.81	0.95	0.42	4	21233.53141	14035.53318	13722.36517	8867.66428	12532.01297
UL37	RPS18	P16778	P62269	96	120	Provided	0.32	0.48	0	0.9	0	3	66710.59091	540821.6262	28973.24467	91657.44844	17635.20505
UL37	GLUD1	P16778	P00367	96	120	Provided	0	0	0.3	0.94	0	1	4300.685255	3238.370683	2233.176065	4838.871649	1990.670981
UL37	TIMM17A	P16778	Q99595	96	144	Provided	0	0	0.34	0.92	0.91	2	1701.535466	2298.679704	2947.916975	3119.577448	2913.692891
UL37	NDUFV1	P16778	P49821	72	144	Provided	0	0	0.84	0.9	0.94	1	36846.99706	30214.56893	20058.14987	21883.02033	9897.309379
UL37	RHOT2	P16778	Q8IXI1	72	144	Provided	0.33	0.69	0.96	0.98	0.94	1	27327.62204	21526.10604	20099.33449	36315.62898	12569.19659
UL37	PHB2	P16778	Q99623	72	120	Provided	0	0.75	0.98	0.87	0.59	1	75984.13816	43513.65361	47763.74938	68194.71245	53807.82824
UL37	VDAC2	P16778	P45880	24	48	Provided	0.91	0.67	1	1	1	2	7992683.528	9182013.436	8403239.365	11437026.44	5872324.12
UL37	VDAC2	P16778	P45880	72	144	Provided	0.91	0.67	1	1	1	2	7992683.528	9182013.436	8403239.365	11437026.44	5872324.12
UL37	OAS1	P16778	P00973	48	72	Provided	0.75	0.99	0.79	0.35	0	3	36154.47851	30655.09286	8297.003961	5480.872651	2308.336388
UL37	MTOR	P16778	P42345	72	144	Provided	0	0.38	0.94	0.99	0.98	2	6447.918273	18170.98237	15009.43406	21962.91932	13466.89671
UL37	COX5A	P16778	P20674	96	144	Provided	0.6	0	0	0.87	0.9	1	44281.98045	24750.30858	27779.55942	29917.28066	35391.3247
UL37	ATP5H	P16778	O75947	96	144	Provided	0	0	0.4	0.9	0.92	1	4181.80705	2497.710604	3311.61624	3598.651072	3805.160761
UL37	SLC25A12	P16778	O75746	120	144	Provided	0	0.45	0.69	0.64	0.91	2	14039.37136	14472.4555	14724.897	16911.2283	14220.89323
UL13	SLC25A12	P16755	O75746	72	144	Provided	0.7	0.51	1	0.94	0.96	2	11726.73133	17437.7978	15768.32158	21458.4395	20685.48088
UL37	TIMM17B	P16778	O60830	96	144	Provided	0	0	0	0.91	0.9	3	12177.79212	4676.439002	3170.985789	4283.499492	4140.178428
UL37	LRPPRC	P16778	P42704	24	144	Provided	1	1	1	1	1	2	678678.674	754604.9586	926090.1396	804461.5977	620649.8971
UL13	LRPPRC	P16755	P42704	72	144	Provided	0.69	0.18	0.95	0.95	0.97	3	41404.49945	53336.93853	36109.29133	33493.18657	27505.09329
UL37	NDUFS2	P16778	O75306	72	96	Provided	0.25	0.44	0.81	0.5	0.92	1	31866.67099	30302.98214	25036.53977	23877.67732	13433.51116
UL37	NDUFS2	P16778	O75306	120	144	Provided	0.25	0.44	0.81	0.5	0.92	1	31866.67099	30302.98214	25036.53977	23877.67732	13433.51116
UL37	EXOC5	P16778	O00471	72	144	Provided	0	0.65	0.97	0.88	0.95	2	15420.45339	29166.87449	22091.67443	22221.80712	10971.11967
UL13	HAX1	P16755	O00165	24	48	Provided	0.8	0.56	0.94	0.8	0.96	2	8052.683284	10354.14424	7677.537604	12600.13225	14264.40395
UL13	HAX1	P16755	O00165	72	144	Provided	0.8	0.56	0.94	0.8	0.96	2	8052.683284	10354.14424	7677.537604	12600.13225	14264.40395
UL37	HAX1	P16778	O00165	120	144	Provided	0	0	0.39	0	0.95	2	3988.210889	8672.47625	5998.021951	7271.077599	6151.32694
UL37	SAMM50	P16778	Q9Y512	48	144	Provided	0.78	0.99	0.99	1	0.99	2	74345.93663	162065.8028	89893.58166	115645.7438	64493.58374
UL37	MTCH1	P16778	Q9NZJ7	48	144	Provided	0.61	0.92	1	0.99	0.99	2	51062.29228	59218.82325	64347.41031	68730.63211	30231.68833
UL37	MCU	P16778	Q8NE86	96	144	Provided	0	0	0.37	0.95	0.95	1	13865.80871	13240.05797	10960.26493	13321.35866	12078.29107
UL13	PHB	P16755	P35232	72	120	Provided	0.55	0.07	0.85	0.94	0.77	4	29663.89651	20618.36511	13630.60468	14103.79226	16103.82694
UL37	PHB	P16778	P35232	72	144	Provided	0	0.04	0.84	0.99	1	1	204273.6814	80170.05092	84283.87541	109616.064	78064.44098
UL37	SDHA	P16778	P31040	72	144	Provided	0.09	0.37	0.93	0.94	0.88	1	8490.383295	10582.7818	5094.002665	8150.096155	4863.775668
UL13	SDHA	P16755	P31040	96	120	Provided	0.3	0.02	0.45	0.95	0.09	2	7682.811298	9079.037486	5521.683026	8015.436582	9481.050925
UL37	ARMCX3	P16778	Q9UH62	24	144	Provided	0.82	0.99	1	1	1	2	93689.34381	162511.9324	173659.9438	210370.4016	132582.4775
UL37	TIMM23B	P16778	Q5SRD1	72	144	Provided	0	0	0.82	0.9	0.85	2	7339.575678	10385.17391	11396.13416	14098.33551	7457.678073
UL13	TIMM23B	P16755	Q5SRD1	72	96	Provided	0	0.01	0.93	0.57	0.8	2	5605.435662	9770.220428	7127.951604	10377.07855	8510.684608
UL13	TIMM23B	P16755	Q5SRD1	120	144	Provided	0	0.01	0.93	0.57	0.8	2	5605.435662	9770.220428	7127.951604	10377.07855	8510.684608
UL37	TIMM21	P16778	Q9BVV7	120	144	Provided	0	0	0.47	0.42	0.97	2	11533.09747	11711.33909	22728.72962	27743.3416	20626.67079
UL13	HADHA	P16755	P40939	72	120	Provided	0.76	0.21	1	0.99	0.46	2	87257.53322	86464.87948	62695.16283	99396.28691	97978.98273
UL37	HADHA	P16778	P40939	24	144	Provided	1	0.99	1	1	1	2	4211042.234	6719552.148	8201286.208	8321644.887	5985113.259
UL37	MTX2	P16778	O75431	48	144	Provided	0.4	0.84	0.99	0.98	0.96	2	16762.21746	37691.734	19027.36482	28588.56349	22061.52641
UL37	TMEM173	P16778	Q86WV6	72	144	Provided	0	0.43	1	0.99	0.99	2	23613.70381	48966.16359	73036.14755	80275.87718	50030.02276
UL13	SLC25A24	P16755	Q6NUK1	72	120	Provided	0.36	0.11	0.99	0.88	0.63	4	32247.91948	21639.8797	13874.71516	13387.26222	13780.76991
UL37	SLC25A24	P16778	Q6NUK1	72	120	Provided	0.46	0.01	0.92	0.88	0	1	15560.86024	14605.13069	8065.052903	7857.036889	4021.937687
UL37	MSTO1	P16778	Q9BUK6	96	120	Provided	0	0	0.39	0.92	0	3	196738.5418	65245.25763	57591.90769	15312.17366	11164.51498
UL37	UQCRH	P16778	P07919	72	144	Provided	0.32	0	0.96	0.96	0.97	2	55469.18842	69651.61	91740.53632	70054.55927	63865.85228
UL37	C1QBP	P16778	Q07021	72	144	Provided	0	0.77	0.93	0.97	0.98	1	37423.97389	25878.15195	17765.35153	20715.09275	23888.46644
UL13	C1QBP	P16755	Q07021	96	144	Provided	0.58	0.58	0.48	0.81	0.99	2	5816.059651	7056.782149	3949.414184	3085.035924	6930.301825
UL37	MICU1	P16778	Q9BPX6	72	144	Provided	0	0.74	0.96	0.95	0.98	2	8841.618407	15096.76738	14391.17933	15014.4669	7961.66684
UL13	SLC25A10	P16755	Q9UBX3	72	144	Provided	0.49	0.31	0.94	0.82	0.96	2	4301.588297	3556.612782	5000.943247	5780.80457	5488.088507
UL37	SLC25A10	P16778	Q9UBX3	72	144	Provided	0	0.51	0.99	0.99	0.97	2	24557.59036	34971.70091	35785.4182	41566.54665	29316.08386
UL13	PPP6C	P16755	O00743	72	144	Provided	0.58	0.63	0.97	0.92	0.8	2	5466.887879	7250.740337	6086.991829	4625.034123	6309.723701
UL37	PPP6C	P16778	O00743	72	120	Provided	0	0	0.91	0.97	0.41	2	11023.70241	21089.56685	11478.93255	15110.5066	7881.501704
UL37	GOLPH3	P16778	Q9H4A6	72	144	Provided	0	0	0.83	0.9	0.9	1	8818.63816	8520.438175	8211.46638	7605.016019	4275.483201
UL37	BAK1	P16778	Q16611	72	144	Provided	0.47	0.63	1	0.97	1	2	45489.38086	71555.63747	80143.60228	79181.42506	53574.03618
UL37	DNAJA1	P16778	P31689	96	120	Provided	0.36	0.21	0.46	0.99	0.58	2	216993.1978	320221.3935	227289.6662	238542.3688	165622.3705
UL37	SLC25A13	P16778	Q9UJS0	120	144	Provided	0	0.62	0.61	0.45	0.96	2	95015.39213	108892.7176	133057.7251	166830.6527	124938.0981
UL13	SLC25A13	P16755	Q9UJS0	24	48	Provided	0.87	0.45	1	0.92	0.23	1	55622.90566	99629.64499	104769.867	167582.4796	169989.7021
UL13	SLC25A13	P16755	Q9UJS0	72	120	Provided	0.87	0.45	1	0.92	0.23	1	55622.90566	99629.64499	104769.867	167582.4796	169989.7021
UL37	ATAD3B	P16778	Q5T9A4	24	48	Provided	0.98	0.68	1	0.99	1	2	313471.9694	538238.8263	494159.1045	600713.9325	402684.8067
UL37	ATAD3B	P16778	Q5T9A4	72	144	Provided	0.98	0.68	1	0.99	1	2	313471.9694	538238.8263	494159.1045	600713.9325	402684.8067
UL37	CYB5B	P16778	O43169	72	144	Provided	0.23	0	0.9	0.93	0.94	1	14826.68053	7484.687114	6360.59184	9298.532116	17077.95903
UL37	OXA1L	P16778	Q15070	96	120	Provided	0	0	0.74	0.92	0	2	7890.559299	9282.137327	16739.71646	15458.57457	11983.2999
UL37	MTCH2	P16778	Q9Y6C9	24	48	Provided	1	0.6	1	0.97	0.99	2	348022.8201	401416.0047	452746.1004	463029.4763	329820.1647
UL37	MTCH2	P16778	Q9Y6C9	72	144	Provided	1	0.6	1	0.97	0.99	2	348022.8201	401416.0047	452746.1004	463029.4763	329820.1647
UL37	ATP5C1	P16778	P36542	72	120	Provided	0	0	0.82	0.93	0.1	1	29045.36247	22812.96052	20612.31639	21163.19712	15397.14548
UL13	ATP5C1	P16755	P36542	72	144	Provided	0.11	0.29	0.8	0.91	0.93	2	14106.6287	14407.14991	8764.746371	13906.43299	16057.1948
UL13	CHCHD3	P16755	Q9NX63	96	144	Provided	0.37	0.57	0.79	0.87	0.94	2	6745.805345	17000.11055	15269.8976	14908.8104	14286.45173
UL37	CHCHD3	P16778	Q9NX63	24	144	Provided	0.84	0.99	0.99	0.99	0.89	2	134335.3252	418124.2195	270905.186	252364.4713	147442.3099
UL37	TIMM50	P16778	Q3ZCQ8	120	144	Provided	0	0.02	0.36	0.21	0.98	2	23614.30119	27560.8614	31509.15895	38469.52027	24151.64367
UL37	HADHB	P16778	P55084	24	144	Provided	0.88	1	1	1	1	2	2320543.691	3893415.416	4241567.41	4466973.298	2858269.679
UL13	HADHB	P16755	P55084	72	120	Provided	0.51	0.13	0.98	1	0.63	2	55094.47858	63926.0563	31754.71981	52349.48239	44405.073
UL37	TMEM126A	P16778	Q9H061	96	144	Provided	0	0	0.47	0.97	0.97	2	3716.400659	5796.320522	4887.029325	7878.026136	3960.14422
UL37	UQCR10	P16778	Q9UDW1	72	144	Provided	0	0.4	0.9	0.96	0.99	1	79221.69051	83287.3412	82690.36462	73618.23075	71387.9447
UL13	VDAC3	P16755	Q9Y277	72	120	Provided	0	0.12	1	1	0.61	2	17409.93083	32026.79544	18687.65167	26091.81231	29142.5937
UL37	VDAC3	P16778	Q9Y277	24	144	Provided	0.98	0.83	0.99	0.99	1	1	927010.1426	1017570.401	913426.2921	989306.6754	628459.02
UL37	MICU2	P16778	Q8IYU8	72	144	Provided	0	0.47	0.95	0.99	0.91	1	8726.875245	8880.619506	8670.453492	9775.610007	4781.331994
UL37	UQCRC1	P16778	P31930	72	120	Provided	0.31	0.07	0.87	1	0.62	1	71790.53844	46481.39184	66997.39814	74192.79478	42582.65385
UL37	PTRH2	P16778	Q9Y3E5	96	144	Provided	0	0	0	0.94	0.93	4	4293.812099	9995.808204	10258.087	24527.44977	12123.08065
UL37	ACAD9	P16778	Q9H845	120	144	Provided	0	0	0.35	0.43	0.96	2	6455.484601	9330.611236	7827.300807	9198.617598	7629.016868
UL37	SLIRP	P16778	Q9GZT3	48	144	Provided	0.6	0.96	0.99	0.98	1	2	63611.19404	154657.0928	172365.3517	158660.9065	118959.9241
UL37	PGAM5	P16778	Q96HS1	48	144	Provided	0.75	0.94	0.96	0.98	0.91	1	24997.36568	32909.54307	21181.11661	28301.69506	14232.98535
UL37	CYC1	P16778	P08574	24	144	Provided	0.94	0.99	0.99	1	0.96	1	117007.7468	105864.0258	92961.51908	90003.0712	89048.26885
UL37	TRIO	P16778	O75962	48	72	Provided	0	0.97	0.12	0	0	3	171493.2108	99976.73181	18456.97728	13809.39038	3470.540798
UL37	SLC25A11	P16778	Q02978	96	144	Provided	0.61	0.34	0.62	0.94	0.93	2	59424.07192	53625.99118	80813.63018	90369.69356	97679.82167
UL37	NDUFA9	P16778	Q16795	96	144	Provided	0.49	0	0	0.93	0.95	3	74135.49856	28667.23836	12610.0002	12489.97482	14914.10386
UL37	DYNLL1	P16778	P63167	48	120	Provided	0	0.86	0.95	0.85	0.43	3	29254.46296	43520.46093	12004.95132	10213.08508	15683.03197
UL37	DNAJC11	P16778	Q9NVH1	96	144	Provided	0	0	0.68	0.9	0.91	2	5970.486612	5797.021108	6973.392591	8530.162078	5075.174074
UL37	CPT1A	P16778	P50416	48	72	Provided	0.21	0.8	0.77	0.8	0.99	2	21429.84383	25174.88648	29431.27777	30582.88775	17773.78948
UL37	CPT1A	P16778	P50416	96	144	Provided	0.21	0.8	0.77	0.8	0.99	2	21429.84383	25174.88648	29431.27777	30582.88775	17773.78948
UL13	CAVIN1	P16755	Q6NZI2	96	144	Provided	0	0.02	0.49	0.96	0.95	4	66796.54072	38649.52458	31298.40118	20785.30221	24842.82097
UL37	CAVIN1	P16778	Q6NZI2	96	120	Provided	0	0.5	0.05	1	0.01	3	229249.2593	948555.9598	86857.62505	230253.9606	25176.40778
UL37	ATP5D	P16778	P30049	96	144	Provided	0	0	0	0.9	0.89	1	21732.20522	5590.787928	10677.88934	9110.478218	8230.902089
UL37	RHOT1	P16778	Q8IXI2	72	120	Provided	0	0.34	0.8	0.96	0.79	2	4299.67052	5834.664763	12863.18515	10178.18988	3087.616794
UL13	ATAD3A	P16755	Q9NVI7	24	144	Provided	0.8	0.92	1	1	1	2	172440.0095	196032.4883	160465.0465	222439.6494	173371.5476
UL37	ATAD3A	P16778	Q9NVI7	24	144	Provided	0.94	0.96	1	0.99	1	2	97616.17592	181388.1596	159731.8616	197671.95	99279.94882
UL37	NDUFV2	P16778	P19404	72	120	Provided	0	0	0.82	0.9	0	1	11462.58681	6063.865259	5584.525253	6702.268588	5844.439442
UL13	STOML2	P16755	Q9UJZ1	96	144	Provided	0.57	0.36	0.47	0.91	0.91	2	3209.068147	3452.503843	2809.927938	3036.623308	4341.59431
UL37	STOML2	P16778	Q9UJZ1	48	144	Provided	0.73	0.99	0.99	1	1	2	76353.86541	84770.82166	84590.07152	144881.4863	77017.74597
UL13	TOMM40	P16755	O96008	72	144	Provided	0.64	0.61	1	1	0.86	1	17573.99486	51756.98882	49196.80017	59448.02608	74591.68299
UL37	TOMM40	P16778	O96008	24	144	Provided	0.91	0.86	1	1	1	2	66163.95913	70683.81561	106155.9247	108520.5129	80402.00915
