#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_1min	confidence_score_3min	confidence_score_10min	confidence_score_30min	cluster	abundance_1min	abundance_3min	abundance_10min	abundance_30min
OPRD1	KHDRBS1	P41143	Q07666	30min		4	5	Provided	0.622	0.954	0.333	0.963	4	3.903	7.766	2.049	8.236
OPRD1	KIAA0196	P41143	Q12768	3min	30min	2	4	Provided	0	0.663	0.995	0.24	1	0	7.074	9.226	6.183
OPRD1	LAMP1	P41143	P11279	30min		4	5	Provided	0	0	0.252	0.711	1	1.751	1.9	4.526	8.392
OPRD1	LAMTOR1	P41143	Q6IAA8	30min		4	5	Provided	0	0.212	0.156	0.848	4	0	7.467	3.273	15.985
OPRD1	M6PR	P41143	P20645	30min		4	5	Provided	0	0	0.21	0.641	1	0	2.958	6.245	6.718
OPRD1	MYOF	P41143	Q9NZM1	1min	10min	1	3	Provided	0.666	0.66	0.263	0	2	13.937	7.847	4.7	3.639
OPRD1	NAPG	P41143	Q99747	1min		1	5	Provided	0.968	0.951	0.667	0.95	3	14.87	12.202	7.134	11.519
OPRD1	NEDD4L	P41143	Q96PU5	10min		3	5	Provided	0.161	0.001	0.472	0.522	1	1.54	2.884	4.257	4.869
OPRD1	NPLOC4	P41143	Q8TAT6	1min	3min	1	2	Provided	0.639	0.329	0.524	0.484	1	6.86	3.103	8.349	7.721
OPRD1	NPLOC4	P41143	Q8TAT6	10min		3	5	Provided	0.639	0.329	0.524	0.484	1	6.86	3.103	8.349	7.721
OPRD1	PICALM	P41143	Q13492	1min	10min	1	3	Provided	0.591	0.615	0.004	0.001	2	33.143	31.812	10.152	8.612
OPRD1	POLR3A	P41143	O14802	1min	30min	1	4	Provided	0.662	0.655	0.626	0.162	2	22.829	13.841	9.023	4.4
OPRD1	PROX1	P41143	Q92786	1min		1	5	Provided	0.653	0.417	0.795	0.657	3	10.439	8.313	8.061	7.228
OPRD1	RAB18	P41143	Q9NP72	1min		1	5	Provided	0.523	0.547	0.517	0.465	2	12.995	8.515	9.1	4.568
OPRD1	RAPH1	P41143	Q70E73	1min	3min	1	2	Provided	0.657	0	0	0	2	3.911	0	0	1.737
OPRD1	REL	P41143	Q04864	1min	10min	1	3	Provided	0.623	0.473	0.008	0	2	20.997	13.189	5.117	4.154
OPRD1	RRAGC	P41143	Q9HB90	30min		4	5	Provided	0	0	0	0.674	1	3.472	2.114	3.979	8.187
OPRD1	SCAMP3	P41143	O14828	3min		2	5	Provided	0.001	0.542	0.743	0.623	1	5.594	10.812	14.974	19.463
OPRD1	SEC31A	P41143	O94979	1min		1	5	Provided	0.468	0.674	0.588	0.449	2	13.017	9.845	7.023	5.848
OPRD1	SLC25A4	P41143	P12235	1min	3min	1	2	Provided	0.565	0.335	0.333	0.31	2	4.765	3.963	2.014	1.787
OPRD1	SORT1	P41143	Q99523	3min		2	5	Provided	0	0.593	0.661	0.588	4	0	13.466	7.066	10.118
OPRD1	SPCS2	P41143	Q15005	3min	30min	2	4	Provided	0.382	0.736	0.597	0.333	3	5.184	7.487	6.592	4.777
OPRD1	SSSCA1	P41143	O60232	1min	3min	1	2	Provided	0.534	0.334	0.351	0.667	3	4.725	4.022	4.344	4.739
OPRD1	SSSCA1	P41143	O60232	30min		4	5	Provided	0.534	0.334	0.351	0.667	3	4.725	4.022	4.344	4.739
OPRD1	STX16	P41143	O14662	3min	30min	2	4	Provided	0	0.662	0.666	0.155	4	0	5.512	4.43	2.982
OPRD1	STX7	P41143	O15400	3min	10min	2	3	Provided	0.132	0.582	0.232	0.015	1	7.13	16.103	29.052	16.556
OPRD1	SUMO2	P41143	P61956	1min	10min	1	3	Provided	0.603	0.411	0.002	0	3	6.12	5.709	3.964	3.327
OPRD1	SUPT6H	P41143	Q7KZ85	10min	30min	3	4	Provided	0.059	0.384	0.644	0.167	3	8.491	10.03	12.366	7.754
OPRD1	TFRC	P41143	P02786	1min		1	5	Provided	0.56	0.997	0.97	0.749	1	20.616	320.918	722.771	531.372
OPRD1	TGFBRAP1	P41143	Q8WUH2	10min	30min	3	4	Provided	0	0.032	0.667	0.008	1	0	4.222	6.782	4.6
OPRD1	TMED9	P41143	Q9BVK6	3min	10min	2	3	Provided	0.286	0.603	0.002	0.001	2	10.069	11.706	4.219	3.456
OPRD1	TMEM55B	P41143	Q86T03	30min		4	5	Provided	0.022	0.007	0.333	0.672	1	6.266	3.306	8.663	11.861
OPRD1	TNPO3	P41143	Q9Y5L0	3min	30min	2	4	Provided	0.333	0.615	1	0.336	1	3.409	6.919	9.824	8.243
OPRD1	TOM1	P41143	O60784	10min		3	5	Provided	0.02	0.29	0.482	0.985	1	3.14	6.184	6.338	7.442
OPRD1	TOP1	P41143	P11387	10min	30min	3	4	Provided	0.333	0.333	0.667	0.333	2	18.015	11.291	12.454	5.96
OPRD1	TPD52L2	P41143	O43399	1min	3min	1	2	Provided	0.617	0	0.033	0.016	2	10.25	0	3.869	3.321
OPRD1	TPP2	P41143	P29144	30min		4	5	Provided	0.186	0.095	0.334	0.537	1	13.539	6.034	16.158	15.819
OPRD1	UBQLN2	P41143	Q9UHD9	10min		3	5	Provided	0.371	0.125	0.527	0.607	1	9.921	5.068	13.109	12.627
OPRD1	VAMP3	P41143	Q15836	3min		2	5	Provided	0.091	0.663	0.976	0.405	1	4.2	6.277	9.04	4.53
OPRD1	VAMP8	P41143	Q9BV40	10min		3	5	Provided	0.145	0.373	0.615	0.697	3	11.673	10.656	8.998	7.984
OPRD1	WWP2	P41143	O00308	30min		4	5	Provided	0.211	0.104	0.336	0.805	1	5.059	3.485	12.402	15.055
OPRD1	XP32	P41143	Q5T750	1min	3min	1	2	Provided	0.659	0.333	0.333	0.543	2	7.363	3.295	2.352	3.687
OPRD1	XP32	P41143	Q5T750	30min		4	5	Provided	0.659	0.333	0.333	0.543	2	7.363	3.295	2.352	3.687
OPRD1	ZFYVE20	P41143	Q9H1K0	3min	10min	2	3	Provided	0.052	0.657	0.106	0.022	4	2.691	7.233	5.715	4.983
VAMP8	VAMP3	Q9BV40	Q15836			Inf	Inf	STRING	0.313	0.313	0.313	0.313					
ATP6V0A1	ATP6V1E1	Q93050	P36543			Inf	Inf	STRING	0.628	0.628	0.628	0.628					
ATP6V0A1	SORT1	Q93050	Q99523			Inf	Inf	STRING	0.179	0.179	0.179	0.179					
ATP6V1A	ATP6V1E1	P38606	P36543			Inf	Inf	STRING	0.863	0.863	0.863	0.863					
ATP6V1A	ATP6V0A1	P38606	Q93050			Inf	Inf	STRING	0.469	0.469	0.469	0.469					
ATP6V1B2	ATP6V1E1	P21281	P36543			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
ATP6V1B2	ATP6V0A1	P21281	Q93050			Inf	Inf	STRING	0.417	0.417	0.417	0.417					
ATP6V1B2	ATP6V1A	P21281	P38606			Inf	Inf	STRING	0.936	0.936	0.936	0.936					
LAMTOR1	ATP6V1A	Q6IAA8	P38606			Inf	Inf	STRING	0.137	0.137	0.137	0.137					
LAMTOR1	ATP6V1B2	Q6IAA8	P21281			Inf	Inf	STRING	0.993	0.993	0.993	0.993					
SCAMP3	ATP6V1E1	O14828	P36543			Inf	Inf	STRING	0.387	0.387	0.387	0.387					
EPN2	VAMP3	O95208	Q15836			Inf	Inf	STRING	0.053	0.053	0.053	0.053					
EPN2	VAMP8	O95208	Q9BV40			Inf	Inf	STRING	0.053	0.053	0.053	0.053					
NAPG	VAMP3	Q99747	Q15836			Inf	Inf	STRING	0.09	0.09	0.09	0.09					
NAPG	VAMP8	Q99747	Q9BV40			Inf	Inf	STRING	0.09	0.09	0.09	0.09					
LAMP1	VAMP3	P11279	Q15836			Inf	Inf	STRING	0.142	0.142	0.142	0.142					
LAMP1	VAMP8	P11279	Q9BV40			Inf	Inf	STRING	0.085	0.085	0.085	0.085					
LAMP1	ATP6V1B2	P11279	P21281			Inf	Inf	STRING	0.186	0.186	0.186	0.186					
UBQLN2	VAMP3	Q9UHD9	Q15836			Inf	Inf	STRING	0.084	0.084	0.084	0.084					
UBQLN2	VAMP8	Q9UHD9	Q9BV40			Inf	Inf	STRING	0.084	0.084	0.084	0.084					
UBQLN2	EPN2	Q9UHD9	O95208			Inf	Inf	STRING	0.4	0.4	0.4	0.4					
UBQLN2	NPLOC4	Q9UHD9	Q8TAT6			Inf	Inf	STRING	0.391	0.391	0.391	0.391					
ITSN2	EPN2	Q9NZM3	O95208			Inf	Inf	STRING	0.195	0.195	0.195	0.195					
ITSN2	UBQLN2	Q9NZM3	Q9UHD9			Inf	Inf	STRING	0.046	0.046	0.046	0.046					
TFRC	ATP6V1A	P02786	P38606			Inf	Inf	STRING	0.137	0.137	0.137	0.137					
TFRC	LAMP1	P02786	P11279			Inf	Inf	STRING	0.087	0.087	0.087	0.087					
TFRC	UBQLN2	P02786	Q9UHD9			Inf	Inf	STRING	0.125	0.125	0.125	0.125					
STX7	VAMP3	O15400	Q15836			Inf	Inf	STRING	0.767	0.767	0.767	0.767					
STX7	ZFYVE20	O15400	Q9H1K0			Inf	Inf	STRING	0.191	0.191	0.191	0.191					
STX7	VAMP8	O15400	Q9BV40			Inf	Inf	STRING	0.784	0.784	0.784	0.784					
STX7	NAPG	O15400	Q99747			Inf	Inf	STRING	0.666	0.666	0.666	0.666					
STX7	LAMP1	O15400	P11279			Inf	Inf	STRING	0.09	0.09	0.09	0.09					
STX16	VAMP3	O14662	Q15836			Inf	Inf	STRING	0.522	0.522	0.522	0.522					
STX16	ZFYVE20	O14662	Q9H1K0			Inf	Inf	STRING	0.178	0.178	0.178	0.178					
STX16	VAMP8	O14662	Q9BV40			Inf	Inf	STRING	0.304	0.304	0.304	0.304					
STX16	ATP6V1B2	O14662	P21281			Inf	Inf	STRING	0.871	0.871	0.871	0.871					
STX16	APPL1	O14662	Q9UKG1			Inf	Inf	STRING	0.268	0.268	0.268	0.268					
STX16	NAPG	O14662	Q99747			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
STX16	STX7	O14662	O15400			Inf	Inf	STRING	0.566	0.566	0.566	0.566					
POLR3A	SUPT6H	O14802	Q7KZ85			Inf	Inf	STRING	0.335	0.335	0.335	0.335					
RRAGC	ATP6V1B2	Q9HB90	P21281			Inf	Inf	STRING	0.227	0.227	0.227	0.227					
RRAGC	LAMTOR1	Q9HB90	Q6IAA8			Inf	Inf	STRING	0.999	0.999	0.999	0.999					
ATP6V1G1	ATP6V1E1	O75348	P36543			Inf	Inf	STRING	0.874	0.874	0.874	0.874					
ATP6V1G1	ATP6V0A1	O75348	Q93050			Inf	Inf	STRING	0.572	0.572	0.572	0.572					
ATP6V1G1	ATP6V1A	O75348	P38606			Inf	Inf	STRING	0.615	0.615	0.615	0.615					
ATP6V1G1	ATP6V1B2	O75348	P21281			Inf	Inf	STRING	0.721	0.721	0.721	0.721					
PICALM	VAMP3	Q13492	Q15836			Inf	Inf	STRING	0.157	0.157	0.157	0.157					
PICALM	ATP6V1E1	Q13492	P36543			Inf	Inf	STRING	0.684	0.684	0.684	0.684					
PICALM	VAMP8	Q13492	Q9BV40			Inf	Inf	STRING	0.157	0.157	0.157	0.157					
PICALM	EPN2	Q13492	O95208			Inf	Inf	STRING	0.068	0.068	0.068	0.068					
PICALM	NPLOC4	Q13492	Q8TAT6			Inf	Inf	STRING	0.413	0.413	0.413	0.413					
PICALM	UBQLN2	Q13492	Q9UHD9			Inf	Inf	STRING	0.08	0.08	0.08	0.08					
PICALM	ITSN2	Q13492	Q9NZM3			Inf	Inf	STRING	0.282	0.282	0.282	0.282					
TGFBRAP1	VAMP3	Q8WUH2	Q15836			Inf	Inf	STRING	0.263	0.263	0.263	0.263					
TGFBRAP1	ZFYVE20	Q8WUH2	Q9H1K0			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
TGFBRAP1	VAMP8	Q8WUH2	Q9BV40			Inf	Inf	STRING	0.263	0.263	0.263	0.263					
TGFBRAP1	ATP6V0A1	Q8WUH2	Q93050			Inf	Inf	STRING	0.191	0.191	0.191	0.191					
TGFBRAP1	APPL1	Q8WUH2	Q9UKG1			Inf	Inf	STRING	0.342	0.342	0.342	0.342					
TGFBRAP1	STX7	Q8WUH2	O15400			Inf	Inf	STRING	0.267	0.267	0.267	0.267					
TGFBRAP1	STX16	Q8WUH2	O14662			Inf	Inf	STRING	0.26	0.26	0.26	0.26					
SEC31A	TPD52L2	O94979	O43399			Inf	Inf	STRING	0.525	0.525	0.525	0.525					
CAMK2B	TNPO3	Q13554	Q9Y5L0			Inf	Inf	STRING	0.707	0.707	0.707	0.707					
AGFG1	VAMP3	P52594	Q15836			Inf	Inf	STRING	0.085	0.085	0.085	0.085					
AGFG1	VAMP8	P52594	Q9BV40			Inf	Inf	STRING	0.085	0.085	0.085	0.085					
AGFG1	EPN2	P52594	O95208			Inf	Inf	STRING	0.05	0.05	0.05	0.05					
AGFG1	UBQLN2	P52594	Q9UHD9			Inf	Inf	STRING	0.058	0.058	0.058	0.058					
AGFG1	ITSN2	P52594	Q9NZM3			Inf	Inf	STRING	0.05	0.05	0.05	0.05					
AGFG1	MYOF	P52594	Q9NZM1			Inf	Inf	STRING	0.085	0.085	0.085	0.085					
AGFG1	TFRC	P52594	P02786			Inf	Inf	STRING	0.052	0.052	0.052	0.052					
AGFG1	PICALM	P52594	Q13492			Inf	Inf	STRING	0.064	0.064	0.064	0.064					
ARRB2	OPRD1	P32121	P41143			Inf	Inf	STRING	0.477	0.477	0.477	0.477					
ARRB2	UBQLN2	P32121	Q9UHD9			Inf	Inf	STRING	0.065	0.065	0.065	0.065					
SUMO2	SSSCA1	P61956	O60232			Inf	Inf	STRING	0.387	0.387	0.387	0.387					
SUMO2	TOP1	P61956	P11387			Inf	Inf	STRING	0.184	0.184	0.184	0.184					
TOM1	APPL1	O60784	Q9UKG1			Inf	Inf	STRING	0.063	0.063	0.063	0.063					
EIF4G2	TOP1	P78344	P11387			Inf	Inf	STRING	0.3	0.3	0.3	0.3					
DNM1L	APPL1	O00429	Q9UKG1			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
DNM1L	ITSN2	O00429	Q9NZM3			Inf	Inf	STRING	0.367	0.367	0.367	0.367					
