accession,genename,GOIDs,localizations,organism,type
Q16181,SEPTIN7,GO:0000777; GO:0001725; GO:0003924; GO:0005198; GO:0005525; GO:0005634; GO:0005819; GO:0005829; GO:0005930; GO:0005940; GO:0007283; GO:0015630; GO:0016476; GO:0030154; GO:0030336; GO:0030496; GO:0031105; GO:0032154; GO:0042802; GO:0043065; GO:0045296; GO:0051291; GO:0060271; GO:0061640; GO:0070062; GO:0097227; GO:0097730; GO:1902857; GO:2000134,Cytoplasm; Chromosome; Centromere; Kinetochore; Cytoskeleton; Spindle; Cleavage furrow; Midbody; Cilium axoneme; Cell projection; Cilium; Flagellum,Homo sapiens (Human),Background Only
Q93096,PTP4A1,GO:0004725; GO:0005634; GO:0005737; GO:0005769; GO:0005783; GO:0005819; GO:0007049; GO:0007275; GO:0008138; GO:0009898; GO:0030335,Cell membrane; Early endosome; Endoplasmic reticulum; Cytoplasm; Cytoskeleton; Spindle,Homo sapiens (Human),Background Only
Q9NUD5,ZCCHC3,GO:0002218; GO:0003690; GO:0003723; GO:0005737; GO:0008270; GO:0009597; GO:0032481; GO:0045087; GO:0051607; GO:0071360; GO:1900246,Cytoplasm,Homo sapiens (Human),Background Only
Q96EU6,RRP36,GO:0000462; GO:0000469; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0030686; GO:0042274,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q14181,POLA2,GO:0000082; GO:0003677; GO:0003887; GO:0005654; GO:0005658; GO:0005829; GO:0006260; GO:0006270; GO:0032201; GO:0046982,Nucleus,Homo sapiens (Human),Background Only
P13726,F3,GO:0001938; GO:0002020; GO:0002541; GO:0002543; GO:0004896; GO:0005543; GO:0005615; GO:0005886; GO:0006919; GO:0007596; GO:0007598; GO:0009986; GO:0010641; GO:0016021; GO:0016485; GO:0019221; GO:0030335; GO:0031233; GO:0045766; GO:0050927; GO:0051897; GO:0062023; GO:1905286,Membrane; Secreted,Homo sapiens (Human),Background Only
O95155,UBE4B,GO:0000151; GO:0000209; GO:0003222; GO:0005524; GO:0005634; GO:0005737; GO:0006511; GO:0006513; GO:0008626; GO:0009411; GO:0019899; GO:0030433; GO:0031175; GO:0034450; GO:0043161; GO:0051117; GO:0051865,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
Q8WXH0,SYNE2,GO:0003779; GO:0005634; GO:0005635; GO:0005640; GO:0005654; GO:0005737; GO:0005739; GO:0005813; GO:0005925; GO:0007097; GO:0010457; GO:0016021; GO:0016235; GO:0016529; GO:0021817; GO:0030018; GO:0030335; GO:0031022; GO:0031258; GO:0031527; GO:0031965; GO:0031981; GO:0033017; GO:0034993; GO:0045111; GO:0051015; GO:0051642; GO:0070062; GO:0090286; GO:1902017,Nucleus outer membrane; Sarcoplasmic reticulum membrane; Cell membrane; Cytoplasm; Cytoskeleton; Mitochondrion; Nucleus; Nucleoplasm; Myofibril; Sarcomere; Z line; Cell junction; Focal adhesion,Homo sapiens (Human),Background Only
P26368,U2AF2,GO:0000243; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0006397; GO:0006405; GO:0006406; GO:0008187; GO:0016607; GO:0019899; GO:0030628; GO:0031124; GO:0031397; GO:0033120; GO:0048025; GO:0070742; GO:0071004; GO:0089701,Nucleus,Homo sapiens (Human),Background Only
O94842,TOX4,GO:0000785; GO:0000981; GO:0003677; GO:0005634; GO:0072357,Nucleus,Homo sapiens (Human),Background Only
P62263,RPS14,GO:0000028; GO:0000122; GO:0000184; GO:0000462; GO:0003723; GO:0003735; GO:0005654; GO:0005730; GO:0005829; GO:0005925; GO:0006364; GO:0006412; GO:0006413; GO:0006614; GO:0014069; GO:0016020; GO:0019083; GO:0022627; GO:0030218; GO:0030490; GO:0045182; GO:0048027; GO:0070062; GO:0070181,,Homo sapiens (Human),Background Only
Q676U5,ATG16L1,GO:0000045; GO:0000421; GO:0005776; GO:0005829; GO:0005930; GO:0015031; GO:0016236; GO:0019787; GO:0034045; GO:0039689; GO:0042802; GO:0051020; GO:0051260,Cytoplasm; Preautophagosomal structure membrane,Homo sapiens (Human),Background Only
Q9BQP7,MGME1,GO:0000002; GO:0005739; GO:0006264; GO:0008297; GO:0043504,Mitochondrion,Homo sapiens (Human),Background Only
Q7Z6K5,ARPIN,GO:0030027; GO:0030336; GO:0033058; GO:0051126; GO:2000393,Cell projection; Lamellipodium,Homo sapiens (Human),Background Only
O14920,IKBKB,GO:0002223; GO:0002479; GO:0002756; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005829; GO:0006468; GO:0006954; GO:0007249; GO:0008384; GO:0008385; GO:0009615; GO:0009898; GO:0010803; GO:0016032; GO:0018105; GO:0019901; GO:0030866; GO:0033209; GO:0035509; GO:0035631; GO:0035666; GO:0038095; GO:0042325; GO:0042802; GO:0042803; GO:0043066; GO:0043123; GO:0045087; GO:0045121; GO:0045893; GO:0045944; GO:0046982; GO:0050852; GO:0051092; GO:0051403; GO:0070498; GO:0071356; GO:0072659; GO:0097110; GO:1903140; GO:1903347,Cytoplasm; Nucleus; Membrane raft,Homo sapiens (Human),Background Only
Q9UBR5,CKLF,GO:0005576; GO:0005615; GO:0008009; GO:0008283; GO:0016020; GO:0016021; GO:0030593; GO:0032940; GO:0048246; GO:0048247,Secreted; Membrane,Homo sapiens (Human),Background Only
Q9C0C2,TNKS1BP1,GO:0000289; GO:0005634; GO:0005720; GO:0005737; GO:0005829; GO:0005856; GO:0005913; GO:0006302; GO:0006977; GO:0007004; GO:0010800; GO:0019899; GO:0030014; GO:0031954; GO:0033138; GO:0044877; GO:0045296; GO:0071479; GO:0071532,Nucleus; Cytoplasm; Cytoskeleton; Chromosome,Homo sapiens (Human),Background Only
Q15833,STXBP2,GO:0001909; GO:0002576; GO:0005576; GO:0005829; GO:0005886; GO:0006904; GO:0015031; GO:0016324; GO:0017075; GO:0030348; GO:0042581; GO:0042582; GO:0042589; GO:0043304; GO:0043312; GO:0044194; GO:0045335; GO:0070062; GO:0070820; GO:0071346,,Homo sapiens (Human),Background Only
Q6ZRP7,QSOX2,GO:0003756; GO:0005615; GO:0005654; GO:0005794; GO:0005886; GO:0016971; GO:0030173; GO:0031965; GO:0045454,Membrane; Secreted; Cell membrane; Nucleus membrane,Homo sapiens (Human),Background Only
Q9BQ39,DDX50,GO:0003723; GO:0003724; GO:0005524; GO:0005730; GO:0005886; GO:0016020,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q3YEC7,RABL6,GO:0005525; GO:0005634; GO:0005737; GO:0005813; GO:0005829,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
Q9UJS0,SLC25A13,GO:0005313; GO:0005509; GO:0005739; GO:0005743; GO:0005887; GO:0006094; GO:0006754; GO:0006839; GO:0015183; GO:0015810; GO:0015813; GO:0042802; GO:0043490; GO:0045333; GO:0051592,Mitochondrion inner membrane,Homo sapiens (Human),Both
Q9Y2L9,LRCH1,GO:0005737; GO:0034260; GO:1990869; GO:2000405,Cytoplasm,Homo sapiens (Human),Background Only
Q07954,LRP1,GO:0001523; GO:0001540; GO:0002020; GO:0002265; GO:0003723; GO:0005041; GO:0005044; GO:0005509; GO:0005634; GO:0005765; GO:0005769; GO:0005886; GO:0005887; GO:0005905; GO:0005925; GO:0006629; GO:0006898; GO:0006909; GO:0007041; GO:0007204; GO:0007205; GO:0007568; GO:0008283; GO:0010715; GO:0010875; GO:0010942; GO:0010977; GO:0014912; GO:0015026; GO:0016020; GO:0016323; GO:0016964; GO:0021987; GO:0030136; GO:0030178; GO:0030226; GO:0030425; GO:0030666; GO:0031623; GO:0032050; GO:0032092; GO:0032370; GO:0032374; GO:0032429; GO:0032593; GO:0032956; GO:0034185; GO:0035774; GO:0035909; GO:0038023; GO:0038024; GO:0042157; GO:0042953; GO:0043025; GO:0043235; GO:0043277; GO:0043395; GO:0043524; GO:0044242; GO:0044295; GO:0044877; GO:0045056; GO:0045177; GO:0045807; GO:0048691; GO:0048694; GO:0050766; GO:0051481; GO:0051895; GO:0061642; GO:0070325; GO:0070374; GO:0097242; GO:0098797; GO:0150093; GO:0150094; GO:1900149; GO:1900223; GO:1903078; GO:1904109; GO:1904209; GO:1904646; GO:1904754; GO:1905167; GO:2000587,Cell membrane; Membrane; Coated pit; Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
O14715,RGPD8,GO:0005634; GO:0005643; GO:0005737; GO:0006607; GO:0008536; GO:0043547,,Homo sapiens (Human),Background Only
Q9P0P0,RNF181,GO:0004842; GO:0005737; GO:0016567; GO:0046872; GO:0051865; GO:0061630,,Homo sapiens (Human),Background Only
P19838,NFKB1,GO:0000122; GO:0000790; GO:0000976; GO:0000977; GO:0000980; GO:0000981; GO:0001225; GO:0001227; GO:0001228; GO:0002223; GO:0003682; GO:0003700; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006366; GO:0006915; GO:0006954; GO:0008134; GO:0010629; GO:0010744; GO:0010884; GO:0010956; GO:0010957; GO:0019899; GO:0031293; GO:0032269; GO:0032375; GO:0032481; GO:0033256; GO:0034774; GO:0035580; GO:0035994; GO:0038095; GO:0042802; GO:0042803; GO:0042805; GO:0043066; GO:0043312; GO:0044212; GO:0045083; GO:0045893; GO:0045944; GO:0046982; GO:0050728; GO:0050852; GO:0051092; GO:0051403; GO:0070498; GO:0071222; GO:0071260; GO:0071316; GO:0071347; GO:0071354; GO:0071356; GO:0071359; GO:0090263; GO:1900127; GO:1904385; GO:2000630,Nucleus; Cytoplasm,Homo sapiens (Human),Background Only
Q9Y5B6,PAXBP1,GO:0000122; GO:0000978; GO:0003700; GO:0005634; GO:0005829; GO:0007517; GO:0008134; GO:0014842; GO:0031062; GO:0045944; GO:2000288,Nucleus,Homo sapiens (Human),Background Only
Q3SXM5,HSDL1,GO:0005739; GO:0055114,Mitochondrion,Homo sapiens (Human),Background Only
Q8IZ07,ANKRD13A,GO:0002091; GO:0005737; GO:0005770; GO:0005886; GO:0048471; GO:0140036; GO:1905667,Cell membrane; Late endosome,Homo sapiens (Human),Background Only
Q9NXF8,ZDHHC7,GO:0000139; GO:0005783; GO:0005794; GO:0006612; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019706,Golgi apparatus membrane,Homo sapiens (Human),Background Only
Q8NC42,RNF149,GO:0006511; GO:0016020; GO:0016021; GO:0031647; GO:0035690; GO:0043409; GO:0046872; GO:0061630,Membrane,Homo sapiens (Human),Background Only
P13804,ETFA,GO:0005739; GO:0005759; GO:0009055; GO:0016491; GO:0022904; GO:0033539; GO:0050660,Mitochondrion matrix,Homo sapiens (Human),Background Only
P37198,NUP62,GO:0000922; GO:0003682; GO:0005543; GO:0005634; GO:0005635; GO:0005642; GO:0005643; GO:0005737; GO:0005813; GO:0006110; GO:0006351; GO:0006406; GO:0006409; GO:0006606; GO:0007080; GO:0007098; GO:0007100; GO:0007166; GO:0007283; GO:0007569; GO:0008219; GO:0008285; GO:0009755; GO:0009966; GO:0016032; GO:0016925; GO:0017056; GO:0019083; GO:0019894; GO:0030159; GO:0030544; GO:0031965; GO:0042059; GO:0042169; GO:0042306; GO:0043066; GO:0043069; GO:0043123; GO:0043130; GO:0043407; GO:0043657; GO:0044613; GO:0045742; GO:0045840; GO:0045893; GO:0046578; GO:0046580; GO:0046601; GO:0046966; GO:0051425; GO:0051879; GO:0060236; GO:0060964; GO:0070208; GO:0072686; GO:0075733; GO:0090543; GO:0098534; GO:1900034; GO:1903438; GO:1904781; GO:1990904,Nucleus; Nuclear pore complex; Cytoplasm; Cytoskeleton; Spindle pole; Nucleus envelope; Microtubule organizing center; Centrosome,Homo sapiens (Human),Background Only
Q562E7,WDR81,GO:0000421; GO:0005739; GO:0005765; GO:0005829; GO:0006511; GO:0007005; GO:0010923; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0035973; GO:0043551; GO:0045022; GO:0050821; GO:0070530,Early endosome membrane; Late endosome membrane; Lysosome membrane; Cytoplasmic vesicle; Autophagosome membrane; Mitochondrion; Cytoplasm; Cytosol,Homo sapiens (Human),Background Only
Q12974,PTP4A2,GO:0004725; GO:0004727; GO:0005634; GO:0005737; GO:0005769; GO:0005829; GO:0005886; GO:0043687,Cell membrane; Early endosome; Cytoplasm,Homo sapiens (Human),Background Only
P46777,RPL5,GO:0000027; GO:0000184; GO:0003723; GO:0003730; GO:0003735; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005783; GO:0005829; GO:0005925; GO:0006364; GO:0006412; GO:0006413; GO:0006614; GO:0008097; GO:0010628; GO:0016020; GO:0019083; GO:0022625; GO:0031625; GO:0032991; GO:0042273; GO:0045727; GO:0048027; GO:0050821; GO:0070062; GO:1901796; GO:1904667; GO:1990904; GO:1990948; GO:2000059; GO:2000435,Cytoplasm; Nucleus; Nucleolus,Homo sapiens (Human),Background Only
Q15388,TOMM20,GO:0005739; GO:0005741; GO:0005742; GO:0006626; GO:0014850; GO:0015450; GO:0016031; GO:0016236; GO:0016579; GO:0030150; GO:0030943; GO:0031307; GO:0044233; GO:0051082; GO:0070096; GO:1905242,Mitochondrion outer membrane,Homo sapiens (Human),Background Only
Q13393,PLD1,GO:0000139; GO:0004630; GO:0005765; GO:0005768; GO:0005789; GO:0005794; GO:0005886; GO:0006654; GO:0006935; GO:0007264; GO:0007265; GO:0016020; GO:0016042; GO:0016324; GO:0030139; GO:0031902; GO:0032534; GO:0035091; GO:0035579; GO:0043312; GO:0048017; GO:0048471; GO:0048870; GO:0070290; GO:0070821; GO:0098693; GO:0098981,Cytoplasm; Perinuclear region; Endoplasmic reticulum membrane; Golgi apparatus membrane; Late endosome membrane,Homo sapiens (Human),Background Only
Q9BUN8,DERL1,GO:0000839; GO:0002020; GO:0005769; GO:0005770; GO:0005783; GO:0005789; GO:0006457; GO:0006986; GO:0016020; GO:0016021; GO:0016032; GO:0016567; GO:0030176; GO:0030433; GO:0030968; GO:0030970; GO:0031398; GO:0031625; GO:0031648; GO:0032092; GO:0036502; GO:0036503; GO:0036513; GO:0038023; GO:0042288; GO:0045184; GO:0051117; GO:0051260; GO:0051787; GO:0055085; GO:0071712; GO:1990381,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
O00339,MATN2,GO:0001764; GO:0003429; GO:0005201; GO:0005509; GO:0005604; GO:0005615; GO:0007411; GO:0008347; GO:0031012; GO:0031104; GO:0048678; GO:0062023,Secreted,Homo sapiens (Human),Background Only
A0MZ66,SHTN1,GO:0005737; GO:0005874; GO:0005875; GO:0006930; GO:0007265; GO:0007409; GO:0015630; GO:0019894; GO:0030027; GO:0030175; GO:0030424; GO:0030426; GO:0031252; GO:0032488; GO:0038007; GO:0043204; GO:0044295; GO:0045296; GO:0045773; GO:0048471; GO:0048812; GO:0051015; GO:0060327; GO:0061163; GO:0061573; GO:2000114; GO:2001224,Perikaryon; Cell projection; Axon; Growth cone; Cytoplasm; Cytoskeleton; Filopodium; Lamellipodium,Homo sapiens (Human),Background Only
P12074,COX6A1,GO:0004129; GO:0005739; GO:0005743; GO:0005751; GO:0006091; GO:0006123; GO:0009060; GO:0030234,Mitochondrion inner membrane,Homo sapiens (Human),Background Only
O43164,PJA2,GO:0000139; GO:0004842; GO:0005737; GO:0005789; GO:0005886; GO:0006954; GO:0007616; GO:0010738; GO:0014069; GO:0016567; GO:0030054; GO:0034137; GO:0034236; GO:0034237; GO:0035329; GO:0043030; GO:0045087; GO:0045111; GO:0045211; GO:0046330; GO:0046872; GO:0061630; GO:1900745,Cytoplasm; Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell junction; Synapse; Postsynaptic cell membrane; Postsynaptic density,Homo sapiens (Human),Background Only
NA,,,,,Background Only
Q8WWM7,ATXN2L,GO:0003723; GO:0005829; GO:0010494; GO:0010603; GO:0016020; GO:0016607; GO:0034063; GO:0045296,Membrane; Cytoplasm; Nucleus speckle; Cytoplasmic granule,Homo sapiens (Human),Background Only
O95563,MPC2,GO:0005634; GO:0005739; GO:0006850; GO:0031305; GO:0035774; GO:0050833; GO:0061732,Mitochondrion inner membrane,Homo sapiens (Human),Background Only
P53350,PLK1,GO:0000070; GO:0000086; GO:0000122; GO:0000132; GO:0000278; GO:0000281; GO:0000287; GO:0000776; GO:0000785; GO:0000795; GO:0000922; GO:0000942; GO:0001578; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0006468; GO:0006511; GO:0007062; GO:0007077; GO:0007094; GO:0007098; GO:0007346; GO:0008017; GO:0010389; GO:0010800; GO:0010997; GO:0015630; GO:0016301; GO:0016321; GO:0016567; GO:0018105; GO:0019901; GO:0030071; GO:0030496; GO:0031145; GO:0031648; GO:0032436; GO:0032465; GO:0034451; GO:0042802; GO:0043066; GO:0043393; GO:0045143; GO:0045184; GO:0045736; GO:0045862; GO:0051081; GO:0051233; GO:0051443; GO:0051726; GO:0070194; GO:0071168; GO:0072425; GO:0090435; GO:0097711; GO:1900182; GO:1901673; GO:1901990; GO:1902749; GO:1904668; GO:1904776,Nucleus; Chromosome; Centromere; Kinetochore; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Spindle; Midbody,Homo sapiens (Human),Background Only
